"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.859174583E0,-9.967481717E-3,-4.601312876E-1,-4.207101092E-2
3.909037583E0,2.608826011E-2,-5.287336111E-1,-6.775223464E-2
3.958900583E0,1.317808926E-1,-7.081448436E-1,-6.311307102E-2
4.008763583E0,1.040528417E-1,-8.660129309E-1,-6.109868363E-2
4.058626583E0,7.203525305E-2,-1.112913370E0,-1.338827163E-1
4.108489583E0,2.384286374E-1,-7.020218968E-1,-3.027150780E-2
4.158352583E0,2.318989486E-1,-6.053096056E-1,-7.502585649E-2
4.208215583E0,2.784762084E-1,-5.267285109E-1,-7.268566638E-2
4.258078583E0,3.136889040E-1,-4.854706526E-1,-2.031784654E-1
4.307941583E0,2.053335458E-1,-7.267991304E-1,-1.554112285E-1
4.357804583E0,3.731979132E-1,-3.653381765E-1,-1.473908871E-1
4.407667583E0,3.197037876E-1,-5.981820822E-1,-1.306258291E-1
4.457529958E0,2.746281624E-1,-3.890921772E-1,-8.704177290E-2
4.507393958E0,3.432318866E-1,-2.368998677E-1,-1.237080544E-1
4.557256958E0,2.691585720E-1,-2.294545621E-1,-1.873907894E-1
4.607119958E0,7.791592926E-2,-1.023433916E-2,-2.817614675E-1
4.656982958E0,2.829774842E-2,-4.157533944E-1,-2.561664581E-1
4.706845958E0,2.821977139E-1,-5.547590926E-2,2.701517642E-1
4.756708958E0,3.471328914E-1,7.314400375E-2,2.217343599E-1
4.806571958E0,5.214622021E-1,9.970521182E-2,5.986911058E-2
4.856434958E0,1.901984960E-1,-1.106634662E-1,6.509045511E-2
4.906297958E0,9.006886929E-2,3.803280294E-1,7.701609284E-2
4.956160958E0,-7.649975270E-2,1.161174253E-1,1.402722597E-1
5.006023958E0,-3.407989442E-1,1.933843046E-1,1.838080287E-1
5.055886958E0,-3.524204195E-1,1.833594590E-2,2.153933346E-1
5.105749958E0,-4.489541948E-1,1.499468088E-1,2.761949301E-1
5.155612958E0,-3.562217057E-1,6.554751098E-2,3.153913617E-1
5.205475958E0,1.805613488E-1,1.664344370E-1,2.554327548E-1
5.255338958E0,-1.435129624E-2,-1.600355506E-1,9.488737211E-3
5.305201958E0,-1.855705678E-1,-1.308369786E-1,-3.169070557E-2
5.355064958E0,-2.336763144E-1,4.301807284E-2,6.030783057E-2
5.404927958E0,5.954511464E-3,-1.533902735E-1,-1.627797633E-2
5.454791250E0,-5.355984345E-2,-1.416009665E-1,-5.267467722E-2
5.504654250E0,-1.329610199E-1,-1.102756113E-1,-3.822126426E-3
5.554517250E0,-9.261108190E-2,-1.668148339E-1,-1.385834813E-2
5.604380250E0,-2.666574530E-2,-1.931543052E-1,-3.167593852E-2
5.654243250E0,-7.571849972E-2,-2.459349036E-1,-3.552040085E-2
5.704106250E0,-7.350689173E-2,-2.257573605E-1,-1.104135346E-2
5.753969250E0,-4.536913335E-2,-1.496633291E-1,1.161298715E-3
5.803832250E0,-4.542253539E-2,-2.272706181E-1,-3.753268719E-2
5.853695250E0,-6.947408617E-2,-2.296624631E-1,-2.709530294E-2
5.903558250E0,-3.262283280E-3,-3.375943601E-1,-2.106381953E-2
5.953421250E0,-4.346046224E-2,-3.837355971E-1,4.441898316E-3
6.003284250E0,3.237295896E-3,-4.239034653E-1,5.473999307E-3
6.053147250E0,-4.320704564E-2,-4.797977805E-1,-3.544990905E-3
6.103010250E0,-5.438364111E-3,-4.300067723E-1,-7.346387021E-3
6.152873250E0,-2.917844616E-2,-3.403400779E-1,-3.373809531E-2
6.202736250E0,-5.732741579E-2,-2.534137964E-1,-1.479840092E-2
6.252600250E0,-3.732879087E-2,-1.716275364E-1,-2.977299131E-2
6.302463250E0,-5.733126402E-2,-1.518143117E-1,-3.400385752E-2
