"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.504901958E0,6.328839111E-1,-9.660910034E0,4.822970581E-1
4.554764958E0,1.066232758E0,-9.403146057E0,7.062313843E-1
4.604627958E0,4.611909485E-1,-9.344019012E0,9.282197571E-1
4.654490958E0,6.912625122E-1,-9.781409454E0,3.447331238E-1
4.704353958E0,7.572752380E-1,-1.066083069E1,3.173999634E0
4.754216958E0,3.318000183E0,-9.510173492E0,1.972897339E0
4.804079958E0,2.131118317E0,-1.019814285E1,3.006348267E0
4.853942958E0,2.180515594E0,-8.376580811E0,2.025438080E0
4.903805958E0,2.130519562E0,-9.081914063E0,1.668580170E0
4.953668958E0,1.545685730E0,-8.710386658E0,1.199455719E0
5.003531958E0,8.978329468E-1,-9.090446320E0,1.384770355E0
5.053394958E0,1.068777466E-1,-9.555678864E0,1.846410370E0
5.103257958E0,-4.505630493E-1,-9.916578369E0,1.792223053E0
5.153120958E0,-1.805245972E-1,-9.712253265E0,2.321672058E0
5.202983958E0,1.917362823E0,-1.039692947E1,2.763852539E0
5.252846958E0,1.753303986E0,-9.096134491E0,5.495072937E-1
5.302709958E0,3.951782227E-2,-9.580976257E0,8.866062927E-1
5.352572958E0,-2.769241333E-2,-9.847422180E0,1.004261627E0
5.402435958E0,9.150471497E-1,-9.768536224E0,1.872605896E0
5.452299250E0,3.748205566E-1,-9.718839569E0,5.149291992E-1
5.502162250E0,2.255809021E-1,-9.803713074E0,6.768923950E-1
5.552025250E0,5.026547241E-1,-9.853559418E0,9.641450500E-1
5.601888250E0,1.910028076E-1,-9.739496613E0,8.918453979E-1
5.651751250E0,3.326083374E-1,-9.745184784E0,4.123924255E-1
5.701614250E0,4.843927002E-1,-9.713600464E0,7.391629028E-1
5.751477250E0,6.825805664E-1,-9.794432373E0,8.021818542E-1
5.801340250E0,4.302053833E-1,-9.752818909E0,4.170327759E-1
5.851203250E0,8.981323242E-2,-9.720037079E0,6.700067139E-1
5.901066250E0,1.636097717E-1,-9.792336731E0,4.884342957E-1
5.950929250E0,3.760180664E-1,-9.825717316E0,4.336482239E-1
6.000792250E0,4.556524658E-1,-9.785750427E0,4.745132446E-1
6.050655250E0,4.556524658E-1,-9.726773071E0,2.052232361E-1
6.100518250E0,6.289920044E-1,-9.710007935E0,6.243516541E-1
6.150381250E0,1.175355835E0,-9.773625641E0,2.871029663E-1
6.200244250E0,6.806346130E-1,-9.732012177E0,3.844006348E-1
6.250108250E0,8.153544617E-1,-9.758357391E0,6.840774536E-1
6.299971250E0,6.364764404E-1,-9.719138947E0,9.654922485E-2
6.349834250E0,5.468128967E-1,-9.821975098E0,4.065545654E-1
6.399697250E0,8.318202209E-1,-9.765542450E0,1.005908203E-1
6.449559750E0,6.887178040E-1,-9.829309845E0,4.897814941E-1
6.499422750E0,5.942642212E-1,-9.693242798E0,9.325607300E-2
6.549285750E0,8.400531006E-1,-9.780810699E0,3.787124634E-1
6.599148750E0,6.807843018E-1,-9.698182526E0,9.624984741E-2
6.649011750E0,4.501139832E-1,-9.827962646E0,3.736230469E-1
6.698874750E0,8.789721680E-1,-9.724827118E0,1.567240906E-1
6.748737750E0,8.159532166E-1,-9.733958130E0,1.884580994E-1
6.798600750E0,5.947132874E-1,-9.751172333E0,3.610491943E-1
6.848463750E0,7.071295166E-1,-9.779313812E0,9.310638428E-2
6.898326750E0,6.993457031E-1,-9.750872955E0,2.606080627E-1
6.948189750E0,7.162605286E-1,-9.729916534E0,2.559677124E-1
6.998052750E0,7.634124756E-1,-9.707014160E0,2.239343262E-1
7.047915750E0,6.463558960E-1,-9.793534241E0,1.929487610E-1
7.097778750E0,5.619314575E-1,-9.656569061E0,2.821632385E-1
7.147641750E0,3.341052246E-1,-9.826615448E0,1.868115234E-1
7.197504750E0,2.059716797E-1,-9.755662994E0,2.303709412E-1
7.247367750E0,7.792794800E-1,-9.797575836E0,4.138893127E-1
7.297230750E0,6.929090881E-1,-9.786798248E0,1.965412903E-1
7.347093750E0,9.156459045E-1,-9.749076691E0,2.839595032E-1
7.396956750E0,7.348219299E-1,-9.740993500E0,3.209326172E-1
7.446820458E0,7.807763672E-1,-9.744286652E0,2.936892700E-1
