,acc_Acceleration x (m/s^2),acc_Acceleration y (m/s^2),acc_Acceleration z (m/s^2),gyr_Gyroscope x (rad/s),gyr_Gyroscope y (rad/s),gyr_Gyroscope z (rad/s),mag_Magnetic field x (µT),mag_Magnetic field y (µT),mag_Magnetic field z (µT),lin_acc_Linear Acceleration x (m/s^2),lin_acc_Linear Acceleration y (m/s^2),lin_acc_Linear Acceleration z (m/s^2)
1970-01-01 00:00:00.000,2.176870346,4.746761799,8.090133667,-0.3542914092999999,0.3119902313,-0.3994941114999999,,,,,,
1970-01-01 00:00:00.100,1.8858433964999999,4.594817638,7.6353476045,-0.2667111754,-0.183635950795,-0.31848049165000003,-27.413399695,-12.919799805,-36.703699115,-0.10879594086,-0.063081979735,-0.24353480335
1970-01-01 00:00:00.200,2.6318057775000003,4.453641176,8.0089268685,-0.47943873704999995,-0.7372162938,-0.56190311905,-27.80989933,-12.968599795,-36.17300034,0.49290215969999995,0.1421318054,0.3151850699
1970-01-01 00:00:00.300,1.9170996544999999,3.853939891,9.155537605000001,-0.2512872964,-0.88687384125,-0.12751436604,-28.61509895,-12.907599925,-35.319000245,-0.9942974448999999,-0.357005834565,0.64426803595
1970-01-01 00:00:00.400,3.900600076,4.8978087905,8.622984886000001,0.39582901445,-1.2817102070000002,0.03649812565,-29.78629875,-12.82219982,-34.025798795,0.170946359635,0.1785681248,0.72720766065
1970-01-01 00:00:00.500,4.3063330650000005,4.331457734000001,7.9429745675,-0.10216420773699995,-0.4323271513,0.22265382115000001,-32.09209824,-12.779499529999999,-31.366199495000004,0.2810835838000001,0.4044008255,0.07169985780000004
1970-01-01 00:00:00.600,5.202893734,4.7002514600000005,6.991229296,0.8090671897,-1.3219498096,-0.53189524635,-34.855400085,-12.63309956,-27.98679924,0.2500134707,0.19767475104999999,-0.16988587375000003
1970-01-01 00:00:00.700,5.1239304545,-1.1605189445000001,0.83614197365,-2.987043023,-2.307857275,-0.35688750819,-37.63089943,-13.23089981,-23.442299845,-0.1875448227,-4.730511904,-4.372374058
1970-01-01 00:00:00.800,9.210721970000002,-1.2945170886200001,6.1618173125,-5.398133516,-3.2259607315,-0.23380178583999994,-40.46129799,-13.188199995,-18.147500039999997,2.247351408,-3.6139285565,0.05627107649999996
1970-01-01 00:00:00.900,10.6268243815,-0.6768697126500001,10.9115705495,-3.5835354329999998,-1.9312699439999998,0.49470991639999995,-43.047698975,-12.0291996,-12.419599535,1.2211799622,-0.61479258525,6.650374889
