,acc_Acceleration x (m/s^2),acc_Acceleration y (m/s^2),acc_Acceleration z (m/s^2),gyr_Gyroscope x (rad/s),gyr_Gyroscope y (rad/s),gyr_Gyroscope z (rad/s),mag_Magnetic field x (µT),mag_Magnetic field y (µT),mag_Magnetic field z (µT),lin_acc_Linear Acceleration x (m/s^2),lin_acc_Linear Acceleration y (m/s^2),lin_acc_Linear Acceleration z (m/s^2)
1970-01-01 00:00:00.000,2.911766052,3.669692516000001,7.831708431,0.2015796006,-0.3649812340999999,-0.7146912812999999,,,,,,
1970-01-01 00:00:00.100,2.9944679735,4.0645084385,7.5121173855,0.1186570786,-0.5118136406,-0.3488701433,1.3847000005,-45.335197445,-28.737099645,-0.03887832165000005,0.19670295715,-0.2586669923
1970-01-01 00:00:00.200,3.3068808315,3.6862927675,6.632156610499999,-0.008475504815,-1.91500622,-0.17264070359999995,0.8478999436500001,-45.54870033,-28.127099989999998,-0.5883368254,-0.34288942812,-0.37982988356499997
1970-01-01 00:00:00.300,5.5823056695,3.5977584125,6.7926254275,-0.91168950495,-1.19405367955,0.08101361617499996,-0.7869000138500001,-45.36569786,-27.468298915,0.91304755205,0.27261912825,0.083892822265
1970-01-01 00:00:00.400,4.64865613,1.8296120765000001,7.6387870315,-2.6320645805,-0.25289076580000003,-0.4175141118499999,-1.787299931,-44.18840027,-28.42599964,-0.19634711724999998,-0.4868045449,0.2629160881
1970-01-01 00:00:00.500,2.8124638795,-2.8974090815499998,6.7770717145,-1.6206541065,-0.39544724441,0.35406232625000006,-3.165899873,-41.101799015,-31.04289913,-2.7326896190000003,-3.6672782895,-0.6244556905
1970-01-01 00:00:00.600,5.716453313500001,-5.5860445499999996,5.716453314,-2.8578488825,-0.3224509861425,1.4716838,-5.056900024499999,-35.58739853,-34.99569893,0.5289702413949999,-3.7253085375,-1.5389845375
1970-01-01 00:00:00.700,9.099306344,-5.9056358335,8.755786895,-2.467288375,0.21616357565,0.8270871934999999,-6.581899881,-26.51059914,-40.28439903,4.079672337,-1.63019561755,2.5548760890000004
1970-01-01 00:00:00.800,10.929666045000001,-3.5654553174999997,9.8964152335,-1.13984096055,-1.03958567985,0.46882525829999994,-8.369199753,-15.512300015000001,-44.38359833,5.5043120385,2.4015487435000002,4.9860835075
1970-01-01 00:00:00.900,8.625228407,-2.1146570445,8.862267253999999,0.17775654795,-1.481075525,-0.33504970928499994,-11.406999585,-5.4228999615,-45.676797865,2.4180805683,3.560051918,4.1694500445000005
1970-01-01 00:00:01.000,6.416652918,-4.297958254999999,5.770291805,0.06894938275,-0.6903337538500001,-1.04218176025,-15.152400020000002,1.9764000177,-44.908199315000005,-0.9418227670499999,0.85207533855,1.815225124
1970-01-01 00:00:01.100,9.1280202865,-3.0171997545,4.6055853365,-0.1548497751,-0.2786227092,-0.9205468296999999,-18.964899064999997,4.8616998195,-42.5230999,0.119312763215,0.26996815215,0.353113413
1970-01-01 00:00:01.200,6.1556859015,-3.9161533115,2.27363020195,-1.1689325570000002,1.18611270185,-0.7920398117,-22.27719879,4.361500025,-40.144098279999994,-1.8484539985000001,-0.67164838315,-1.6080883739999998
1970-01-01 00:00:01.300,7.953742265499999,-2.757429004,5.69252491,0.0,0.49860407409999996,-0.11224318667500001,-23.15559864,3.0865999459999998,-39.491399765,-0.29956436157,1.5487212540000002,2.0821657185
1970-01-01 00:00:01.400,9.974331854999999,-4.6440199615,5.4638609885,-0.11323580894999999,-0.60573141275,-0.096819289,-22.368699075000002,2.1349999905,-40.040399550000004,2.408361435,-1.111353278,1.2414433958500002
1970-01-01 00:00:01.500,7.9764740465,-5.9536418915,2.02956224965,-1.2724711893,0.6233696341499999,0.10789089091000006,-21.18529987,2.19599998,-41.21159935,0.061662673925,-1.8713395595000002,-2.39793908605
1970-01-01 00:00:01.600,7.8195948605000005,-3.154787004,1.5877873299499998,-2.1087974910000002,-0.85564432295,-0.008933641049999996,-19.61759949,4.0808999539999995,-42.5291996,-0.7035212515,0.12189292949999997,-3.018238783
1970-01-01 00:00:01.700,7.5191459655,-4.1781675815,1.7913268205000001,-1.2598724959,-1.16312950855,1.7552695870000001,-19.922599795,7.820199728,-41.58370018,0.20353221885,0.8286850452,0.8058273791999999
1970-01-01 00:00:01.800,7.452147245500001,-3.864707589,1.1473584175,-0.79998083415,1.600114405,2.1228469311000002,-20.166599275000003,14.060500144999999,-39.16199875,-0.2038609979999999,3.8262102605,0.5233355160000001
1970-01-01 00:00:01.900,5.565705538,-7.141080141,-0.36221353719999994,-1.0770764348500002,-1.2465865316,0.85091023145,-18.116999625,21.89900017,-36.69149971,-0.0018897056499999898,0.09987521199999994,-1.3253225683499998
1970-01-01 00:00:02.000,6.253941237,-9.845268728,2.4496521950000005,-1.022863790615,-2.868615091,2.715903342,-16.18939924,29.755799295000003,-32.38489914,1.6792565584999999,0.44967436799999994,2.1438624259999997
1970-01-01 00:00:02.100,5.0316574575,-14.814114570000001,2.5383361575,2.840134382,1.941807032,-0.07383615897899999,-12.395199774999998,36.33160019,-28.523599625000003,2.9274978640000002,-6.2247357365000004,6.061807752
1970-01-01 00:00:02.200,8.8443212505,-15.291632175,-5.473581672,1.3844852967499999,1.3224079610000001,-0.71201881765,-7.2407000065,38.71059799,-28.554099085,6.0113286975,-6.459932327,-7.5539889335
1970-01-01 00:00:02.300,1.348505140975,-9.1855974185,-0.7117153409999999,1.5422366259999998,2.31450015315,-0.12171131743500001,-2.537599862,37.789499285000005,-29.889999385,-0.8527764083499999,-0.7798120975,-2.239794731
1970-01-01 00:00:02.400,2.4927230475,-3.4229328635,-1.935045838,-0.6164212376,1.682578802,-0.9147437511000001,3.598999858,34.544298170000005,-33.299898145,0.9519511461,5.047397136500001,-6.363665819
1970-01-01 00:00:02.500,0.0004486590999999984,-5.176722288000001,3.261267662,-0.572898373,2.018315673,-0.83258479835,9.35739994,31.0977993,-36.770799635,-1.48613405245,3.6124830245,-2.610502601
1970-01-01 00:00:02.600,5.678168058500001,-11.3786191955,11.512467865,0.4656946957,0.7090409844500001,-1.5057384969999998,13.755499364999999,30.44509888,-36.31329918,2.697903514,-2.70536232,5.4312062265000005
1970-01-01 00:00:02.700,0.3200399875000002,-11.792727468999999,-8.9702432764,-1.316452205,0.8165500761,-0.04718795419999999,15.963699815,31.95789909,-34.275897979999996,-2.498205304,-3.573105335,-9.093080996
1970-01-01 00:00:02.800,4.898855924249999,-14.54596853,-0.79785678899,-2.118341982,0.21425467914,0.2732777894,16.469999315000003,35.203098295000004,-30.585399629999998,3.2521748545000007,-4.3334913255,-1.93864047525
1970-01-01 00:00:02.900,0.13339984449999998,-6.687340975,4.357928157,-2.511498451,0.1319430023,-0.06963659078,16.323599815,38.66180038500001,-25.302799225,-1.5138695241,2.8296597005,2.3649312255
1970-01-01 00:00:03.000,3.2493035795000003,-7.429415226,1.5686447620000001,-0.6956023276000001,-2.6670354605,0.66276928785,15.445199965,41.589797974999996,-19.526099205,0.7789645195,2.1770713329999998,1.8746622205
1970-01-01 00:00:03.100,3.4731820824999997,-9.2549891495,-0.6746264100000001,-0.9301677050499999,-2.1478153465,0.175160445275,11.126399995,43.255098345,-14.145899775,1.379604757,0.7804389,0.1474313734999999
1970-01-01 00:00:03.200,5.4411290885,-13.07468224,10.187292815,0.1411057710000001,3.152659178,0.8675558269999999,10.96169996,44.963098529999996,-8.387499809000001,1.8458623885,-4.2950105665,12.286567215
