"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.730750156E0,-1.271239948E1,4.609159851E1,-1.687260056E1
4.780750156E0,-1.207800007E1,4.667720032E1,-1.546959972E1
4.830750156E0,-1.171199989E1,4.706760025E1,-1.451799965E1
4.880750156E0,-1.155340004E1,4.728720093E1,-1.427400017E1
4.930750156E0,-1.194379997E1,4.699440002E1,-1.478639984E1
4.980750156E0,-1.279780006E1,4.618919754E1,-1.617720032E1
5.030750156E0,-1.417640018E1,4.452999878E1,-1.851959991E1
5.080750156E0,-1.609179878E1,4.212659836E1,-2.163059998E1
5.130750156E0,-1.837319946E1,3.905220032E1,-2.516860008E1
5.180750156E0,-2.084980011E1,3.547760010E1,-2.881639862E1
5.230750050E0,-2.313119888E1,3.180539894E1,-3.229339981E1
5.280750050E0,-2.522959900E1,2.815760040E1,-3.522140121E1
5.330750050E0,-2.680340004E1,2.490019989E1,-3.755159760E1
5.380750050E0,-2.792580032E1,2.213080025E1,-3.941819763E1
5.430750050E0,-2.856019974E1,2.014220047E1,-4.047959900E1
5.480750050E0,-2.869439888E1,1.892219925E1,-4.118719864E1
5.530750050E0,-2.838939857E1,1.839760017E1,-4.168740082E1
5.580750050E0,-2.784039879E1,1.839760017E1,-4.205339813E1
5.630750050E0,-2.718159866E1,1.854399872E1,-4.240719986E1
5.680750050E0,-2.633979988E1,1.858059883E1,-4.293180084E1
5.730750050E0,-2.532719994E1,1.837319946E1,-4.361499786E1
5.780750050E0,-2.422920036E1,1.777540016E1,-4.442020035E1
5.830750050E0,-2.310680008E1,1.678719902E1,-4.529859924E1
5.880750050E0,-2.208199883E1,1.529879951E1,-4.616479874E1
5.930750050E0,-2.127680016E1,1.329799938E1,-4.700659943E1
5.980750050E0,-2.063019943E1,1.089459991E1,-4.790940094E1
6.030750050E0,-1.987380028E1,8.100799561E0,-4.883659744E1
6.080750050E0,-1.916619873E1,5.404599667E0,-4.958079910E1
6.130750050E0,-1.864159966E1,2.891399860E0,-5.019079971E1
6.180750050E0,-1.822679901E1,9.027999640E-1,-5.054459763E1
6.230750050E0,-1.794619942E1,-2.928000093E-1,-5.083739853E1
6.280750050E0,-1.792179871E1,-3.659999967E-1,-5.088619995E1
6.330750050E0,-1.783639908E1,3.537999988E-1,-5.083739853E1
6.380750050E0,-1.770219994E1,1.866599917E0,-5.059339905E1
6.430750050E0,-1.777540016E1,4.428599834E0,-4.998339844E1
6.480750050E0,-1.790959930E1,7.429800034E0,-4.934899902E1
6.530750050E0,-1.782419968E1,1.088239956E1,-4.847060013E1
6.580750050E0,-1.766559982E1,1.450579929E1,-4.747019958E1
6.630750050E0,-1.732399940E1,1.809259987E1,-4.623799896E1
6.680750050E0,-9.015799522E0,2.106939888E1,-4.540839767E1
6.730750050E0,-8.356999397E0,2.404619980E1,-4.404199982E1
6.780750050E0,-7.832399845E0,2.684000015E1,-4.259019852E1
6.830750050E0,-7.356599808E0,2.917020035E1,-4.118719864E1
6.880750050E0,-6.892999649E0,3.126859856E1,-3.977199936E1
6.930750050E0,-6.746599674E0,3.269599915E1,-3.860079956E1
6.980750050E0,-6.868599892E0,3.365979767E1,-3.796640015E1
7.030750050E0,-7.258999825E0,3.392819977E1,-3.774679947E1
7.080750050E0,-7.795799732E0,3.369639969E1,-3.784439850E1
7.130750050E0,-8.491199493E0,3.296440125E1,-3.811280060E1
7.180750050E0,-9.210999489E0,3.184199905E1,-3.867399979E1
7.230750050E0,-1.001620007E1,3.031699944E1,-3.949139786E1
7.280750050E0,-1.078479958E1,2.840159988E1,-4.061380005E1
7.330750050E0,-1.139480019E1,2.619339943E1,-4.145560074E1
7.380750050E0,-1.173639965E1,2.393639946E1,-4.240719986E1
7.430750050E0,-1.183399963E1,2.158180046E1,-4.339540100E1
7.480750050E0,-1.184619999E1,1.914179993E1,-4.433480072E1
7.530750050E0,-1.163879967E1,1.664080048E1,-4.556699753E1
7.580750050E0,-1.121179962E1,1.390799999E1,-4.657959747E1
7.630750050E0,-1.058959961E1,1.094339943E1,-4.759219742E1
7.680750050E0,-1.002839947E1,7.881199837E0,-4.842179871E1
7.730750050E0,-9.454999924E0,4.867799759E0,-4.894639969E1
7.780750050E0,-9.174399376E0,2.232599974E0,-4.947100067E1
7.830750050E0,-9.003600121E0,-2.439999953E-2,-4.972719955E1
7.880750050E0,-8.783999443E0,-1.707999945E0,-5.010540009E1
7.930750050E0,-8.686399460E0,-2.488800049E0,-5.022739792E1
7.980750050E0,-8.698599815E0,-2.208199978E0,-5.023959732E1
8.030750050E0,-8.722999573E0,-8.417999744E-1,-5.012979889E1
8.080750050E0,-8.686399460E0,1.463999987E0,-4.983699799E1
8.130750050E0,-8.491199493E0,4.477399826E0,-4.934899902E1
8.180750050E0,-8.271599770E0,8.210599899E0,-4.858039856E1
8.230750050E0,-7.917799950E0,1.232199955E1,-4.761660004E1
8.280750050E0,-7.637199879E0,1.651879883E1,-4.626239777E1
8.330750050E0,-7.466399670E0,2.067899895E1,-4.473740005E1
8.380750050E0,-7.319999695E0,2.416819954E1,-4.317580032E1
8.430750050E0,-7.149199963E0,2.691320038E1,-4.178499985E1
8.480750050E0,-7.100399971E0,2.893840027E1,-4.072359848E1
8.530750050E0,-7.185800076E0,3.009739876E1,-4.004039764E1
8.580750050E0,-7.283400059E0,3.062199974E1,-3.975979996E1
8.630750050E0,-7.478600025E0,3.035359955E1,-3.989400101E1
8.680750050E0,-7.807999611E0,2.957279968E1,-4.036980057E1
8.730750050E0,-8.149600029E0,2.819419861E1,-4.121159744E1
8.780750050E0,-8.479000092E0,2.637639999E1,-4.226079941E1
8.830750050E0,-8.930399895E0,2.433899879E1,-4.324900055E1
8.880750050E0,-9.137800217E0,2.192339897E1,-4.431039810E1
8.930750050E0,-8.893799782E0,1.903199959E1,-4.523759842E1
8.980750050E0,-8.515600204E0,1.572579956E1,-4.636000061E1
9.030750050E0,-8.076399803E0,1.213899994E1,-4.736039734E1
9.080750050E0,-7.612799644E0,8.344799995E0,-4.816559982E1
9.130750050E0,-7.271199703E0,4.904399872E0,-4.901959991E1
