"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.914737083E0,-2.483094037E-1,-1.832541777E-3,7.177454978E-2
3.965545572E0,-3.280249834E-1,-1.557660475E-2,4.688252881E-2
4.016353229E0,-1.577513069E-1,5.299099907E-2,9.101624042E-2
4.067160104E0,-1.360662282E-1,2.243336588E-1,7.711946964E-2
4.117967812E0,-6.032116711E-2,-8.918370306E-2,5.589252338E-2
4.168776249E0,-1.847812906E-2,-2.573194206E-1,5.803048983E-2
4.219583906E0,-1.582094431E-1,-3.292466700E-1,1.359135192E-2
4.270390729E0,-2.571666837E-1,-1.916533262E-1,1.195733473E-1
4.321198437E0,-4.332434237E-1,-2.718270384E-2,9.284878522E-2
4.372006874E0,-5.071559548E-1,-8.154810965E-2,1.667613089E-1
4.422814531E0,-4.953971207E-1,-3.350497186E-1,3.035911024E-1
4.473621354E0,-5.456393361E-1,-5.473191738E-1,2.803788781E-1
4.524429062E0,-7.339329720E-1,-3.704788685E-1,4.069769979E-1
4.575237499E0,-8.067765236E-1,-1.275143623E-1,4.630222321E-1
4.626045156E0,-6.392516494E-1,9.926267900E-3,4.424061179E-1
4.676851926E0,-6.644490957E-1,3.883461356E-1,4.027010500E-1
4.727659635E0,-3.017585576E-1,4.023956358E-1,3.032856584E-1
4.778468020E0,8.063184023E-1,-5.141806602E-1,-1.595838517E-1
4.829275676E0,1.622563004E0,-8.747332692E-1,-7.224795818E-1
4.880082447E0,2.323510170E0,-1.311641812E0,-1.088071704E0
4.930890104E0,2.465379477E0,-9.219212532E-1,-1.934705973E0
4.981698541E0,2.837385416E0,2.596100792E-3,-1.763974190E0
5.032506145E0,3.152124643E0,-6.943806410E-1,-1.070051670E0
5.083312916E0,2.584189415E0,-4.275930822E-1,-7.519529462E-1
5.134120572E0,1.718466043E0,-1.898207814E-1,-4.482091665E-1
5.184929010E0,8.105943203E-1,1.757712960E-1,-4.054498672E-1
5.235736456E0,4.240806997E-1,1.922641695E-1,-4.381301999E-1
5.286543227E0,-8.704573661E-2,-6.368082762E-2,-2.496838123E-1
5.337350883E0,-8.551861346E-2,2.122694254E-2,3.054236295E-4
5.388159268E0,-1.091889441E-1,3.364241421E-1,3.665083554E-3
5.438966873E0,-1.131594554E-1,4.227063060E-1,2.118112892E-1
5.489773591E0,-1.339282542E-1,4.089622498E-1,5.876350403E-1
5.540581248E0,7.192726433E-2,3.506263196E-1,5.945070982E-1
5.591389633E0,3.512371778E-1,4.691306949E-1,2.472404242E-1
5.642197185E0,6.923953891E-1,3.205420971E-1,1.328592747E-1
5.693003904E0,9.827005267E-1,3.972034156E-1,1.250709742E-1
5.743811560E0,1.004080176E0,4.390464723E-1,3.130592033E-2
5.794619893E0,1.129609346E0,3.067980409E-1,-1.435490996E-1
5.845427498E0,1.178935170E0,3.787253052E-2,-3.049654961E-1
5.896234216E0,8.391514421E-1,-1.542389300E-2,-4.283566475E-1
5.947041820E0,1.044854283E0,2.464768738E-1,-6.343649030E-1
5.997850154E0,9.921686649E-1,5.427377820E-1,-7.238540053E-1
6.048657706E0,2.370087355E-1,2.086043358E-1,-5.401417017E-1
6.099464425E0,-1.171299592E-1,-8.857285231E-2,-4.866925478E-1
6.150272081E0,-6.754443645E-1,8.506047726E-2,-3.457395434E-1
6.201080414E0,-1.543458343E0,-3.182514310E-1,1.693574041E-1
6.251887966E0,-1.612636805E0,-6.149705052E-1,5.401417017E-1
6.302694633E0,-9.909469485E-1,1.233911440E-1,6.742226481E-1
6.353502237E0,-1.485122442E0,1.172826737E-1,5.425850749E-1
6.404310570E0,-1.719229579E0,-2.857238054E-1,5.657972693E-1
6.455118123E0,-9.752176404E-1,9.132166207E-2,6.642963886E-1
6.505924841E0,-1.136786699E0,2.544178963E-1,5.754181147E-1
6.556732393E0,-1.493979692E0,2.568612695E-1,3.840702176E-1
6.607540727E0,-1.354553819E0,1.982199401E-1,3.423798978E-1
6.658348279E0,-1.086239100E0,4.056025743E-1,1.200314835E-1
6.709154945E0,-9.938485026E-1,-1.491994411E-1,-1.450762302E-1
6.759962550E0,-8.645015955E-1,1.597365588E-1,-9.498675168E-2
6.810770831E0,-8.501466513E-1,2.284568697E-1,-4.049917459E-1
