"event","experiment time","system time","system time text"
"START",0.000000000E0,1717756881.850,"2024-06-07 12:41:21.850 UTC+02:00"
"PAUSE",2.443376262E2,1717757126.187,"2024-06-07 12:45:26.187 UTC+02:00"
