date_time,acc_Acceleration x (m/s^2),acc_Acceleration y (m/s^2),acc_Acceleration z (m/s^2),gyr_Gyroscope x (rad/s),gyr_Gyroscope y (rad/s),gyr_Gyroscope z (rad/s),lin_acc_Linear Acceleration x (m/s^2),lin_acc_Linear Acceleration y (m/s^2),lin_acc_Linear Acceleration z (m/s^2),acc_magnitude,gyr_magnitude,lin_acc_magnitude,filtered_acc_magnitude,average_acc_Acceleration x (m/s^2),average_acc_Acceleration y (m/s^2),average_acc_Acceleration z (m/s^2),average_gyr_Gyroscope x (rad/s),average_gyr_Gyroscope y (rad/s),average_gyr_Gyroscope z (rad/s),average_lin_acc_Linear Acceleration x (m/s^2),average_lin_acc_Linear Acceleration y (m/s^2),average_lin_acc_Linear Acceleration z (m/s^2),average_acc_magnitude,average_gyr_magnitude,average_lin_acc_magnitude,average_filtered_acc_magnitude,activity
1970-01-01 00:00:00.000,-2.012962103,3.975973845,8.375178337000001,-0.003665083554,-0.5951179266,0.1073564067,,,,9.487043618577516,0.6047347992778954,,9.491586099441728,-2.012962103,3.975973845,8.375178337000001,-0.003665083554,-0.5951179266,0.1073564067,,,,9.487043618577516,0.6047347992778954,,9.491586099441728,cycling
1970-01-01 00:00:00.100,-1.457378566,3.879064679,8.795268059,-0.13011046875,-0.904435724,0.26121355595,-0.18577760460000006,0.18661534785,0.10879325866,9.722542635451243,0.9503500590507651,0.28491152934543057,9.547700256977839,-1.7351703345,3.9275192619999997,8.585223198000001,-0.066887776152,-0.7497768253,0.184284981325,-0.18577760460000006,0.18661534785,0.10879325866,9.604793127014378,0.7775424291643303,0.28491152934543057,9.519643178209783,cycling
1970-01-01 00:00:00.200,-0.29865417629999996,4.0202412605,9.8068342195,-0.2973298952,-0.67804044485,0.26907821,0.074469029915,0.23948025705,0.5727853774499999,10.603090658784554,0.7877480526975824,0.6252835505222843,9.608610858456043,-1.2563316151,3.9584265948333326,8.992426871833334,-0.14370181583466668,-0.7258646984833333,0.21254939088333336,-0.05565428734250003,0.21304780245,0.34078931805499996,9.93755897093777,0.7809443036754143,0.4550975399338575,9.549299071625203,cycling
1970-01-01 00:00:00.300,-0.33828529715000005,3.731756449,9.367451668,-0.056045236064999886,-0.135989870885,0.02878617865500005,-0.010580837700000012,-0.0008605718599999992,0.06711673738,10.089082906252527,0.14987647430620363,0.06795109378733984,9.6818709995762,-1.0268200356125,3.9017590583749997,9.086183070875,-0.12178767089224998,-0.57839599158375,0.16660858782625004,-0.040629804128333356,0.14174501101333334,0.24956512449666665,9.97543995476646,0.6231773463331116,0.32604872455168493,9.582442053612953,cycling
1970-01-01 00:00:00.400,-0.45074796675,3.1812577245,8.8933739665,-0.0741415835335,-0.20196137945,0.20112146434999997,-0.1763723493,-0.6528623104,0.02005910875000001,9.455986196438747,0.2945084321721369,0.6765639436019861,9.77450108425856,-0.9116056218399999,3.7576587915999995,9.04762125,-0.11225845342049998,-0.503109069157,0.17351116313100004,-0.07456544042125002,-0.05690681934,0.19218862056,9.871549203100917,0.5574435635009166,0.4136775293142603,9.620853859742073,cycling
1970-01-01 00:00:00.500,1.2287144511,1.3184452655,8.843274116500002,-0.2915268615,-1.689527154,0.56190313395,-0.128869921,-1.5631160734999998,-0.19441318510000002,9.025050372159715,1.8042242230449663,1.5804226657174119,9.88768753277286,-0.5548856096833332,3.351123203916666,9.013563394416666,-0.14213652143375,-0.7008454166308334,0.23824315826750006,-0.08542633653700002,-0.3581486701719999,0.11486825942799998,9.730466064610717,0.7652403400915916,0.6470265565948906,9.665326138580538,cycling
1970-01-01 00:00:00.600,3.432504058,0.5572285500999999,7.9214394095000005,-1.557202399,-2.6616142985,0.18607935312,0.4589328766,-1.31632661815,-0.8539052009999999,8.651114961877038,3.0892872173186747,1.6347749824270668,10.011949667069231,0.014741485700000112,2.951995396228571,8.857545682285714,-0.3442887896575,-0.9809552568978572,0.23079118610357147,0.005300198985833319,-0.5178449948349999,-0.04659398397666666,9.576273049934477,1.0972470368383178,0.8116512942335866,9.714843785507494,cycling
1970-01-01 00:00:00.700,6.984050989500001,0.018544375880000047,8.534151792500001,-2.4034548995,-2.164537251,0.04955500365000004,1.843212366,0.29320716864999996,0.2594990730000001,11.02764974667058,3.2348528039593925,1.8843412745070693,10.12761187207437,0.8859051736750002,2.5853140186849997,8.817121446062501,-0.6016845533878125,-1.128903006160625,0.20813666329687505,0.26785907998785713,-0.4019804000514285,-0.002866404408571412,9.75769513702649,1.3644477577284522,0.9648927199869413,9.766439796328353,cycling
1970-01-01 00:00:00.800,7.847261667000001,-0.18738793024999997,7.5001528265,-2.1120807530000003,-1.6930395365000002,0.32741413266,0.23221969600000006,1.69138813,1.27870416645,10.856653366835793,2.7266220848534704,2.1330269897054324,10.21221946259713,1.6593892284888891,2.2772360243588885,8.670791599444446,-0.7695063533447222,-1.1915848428650002,0.22138971544833339,0.26340415698937497,-0.14030933379499994,0.15732991694875004,9.879801607005302,1.5158004607423432,1.1109095037017527,9.815970870358218,cycling
1970-01-01 00:00:00.900,9.5901341435,-0.8708378968449999,6.4885873795,-2.217375517,-1.9059197305000002,-0.08254073934999999,1.6885912419999998,1.83704412,0.99647092795,11.611666448633141,2.9250807127586502,2.686824480987772,10.25124617108367,2.4524637199900003,1.9624286322384996,8.45257117745,-0.9142932697102498,-1.2630183316285002,0.19099666996850004,0.42175827754611106,0.07939660551555562,0.25056780706000004,10.052988091168086,1.6567284859439737,1.2860111678446438,9.859498400430763,cycling
