"Time (s)","Distance (cm)"
3.981768230E-1,5.000000000E0
1.381970364E0,0.000000000E0
3.364652916E0,5.000000000E0
5.039795780E0,0.000000000E0
5.489662030E0,5.000000000E0
3.602386749E1,0.000000000E0
3.625062624E1,5.000000000E0
5.548993227E1,0.000000000E0
5.597260347E1,5.000000000E0
1.035569240E2,0.000000000E0
1.039978194E2,5.000000000E0
1.339232265E2,0.000000000E0
1.342475731E2,5.000000000E0
1.490819231E2,0.000000000E0
1.492149311E2,5.000000000E0
1.582574050E2,0.000000000E0
1.588318547E2,5.000000000E0
1.791649551E2,0.000000000E0
1.793569768E2,5.000000000E0
1.799479623E2,0.000000000E0
1.803479905E2,5.000000000E0
