"event","experiment time","system time","system time text"
"START",0.000000000E0,1717924932.187,"2024-06-09 11:22:12.187 UTC+02:00"
"PAUSE",3.864802277E2,1717925318.667,"2024-06-09 11:28:38.667 UTC+02:00"
