Unnamed: 0,acc_Acceleration x (m/s^2),acc_Acceleration y (m/s^2),acc_Acceleration z (m/s^2),gyr_Gyroscope x (rad/s),gyr_Gyroscope y (rad/s),gyr_Gyroscope z (rad/s),mag_Magnetic field x (µT),mag_Magnetic field y (µT),mag_Magnetic field z (µT),lin_acc_Linear Acceleration x (m/s^2),lin_acc_Linear Acceleration y (m/s^2),lin_acc_Linear Acceleration z (m/s^2),gyr_magnitude,filtered_gyr_magnitude
1970-01-01 00:00:00.000,-2.012962103,3.975973845,8.375178337000001,-0.003665083554,-0.5951179266,0.1073564067,,,,,,,0.6047347992778954,
1970-01-01 00:00:00.100,-1.457378566,3.879064679,8.795268059,-0.1301104687499999,-0.904435724,0.26121355595,14.62169981,-40.223400115,-38.643499375000005,-0.1857776046,0.18661534785,0.1087932586599999,0.9503500590507651,
1970-01-01 00:00:00.200,-0.2986541763,4.0202412605,9.8068342195,-0.2973298951999999,-0.67804044485,0.26907821,12.511099815,-39.826898575,-39.497499465,0.074469029915,0.2394802570499999,0.5727853774499999,0.7877480526975824,
1970-01-01 00:00:00.300,-0.33828529715,3.731756449,9.367451668,-0.0560452360649998,-0.135989870885,0.028786178655,11.26060009,-39.46699905,-40.05869865,-0.0105808377,-0.0008605718599999,0.06711673738,0.14987647430620357,
1970-01-01 00:00:00.400,-0.4507479667499999,3.1812577245,8.8933739665,-0.0741415835335,-0.20196137945,0.20112146435,10.443199635,-39.241300585,-40.455198284999994,-0.1763723493,-0.6528623104,0.02005910875,0.2945084321721369,
1970-01-01 00:00:00.500,1.2287144511,1.3184452655,8.843274116500002,-0.2915268615,-1.689527154,0.56190313395,8.137399912,-38.808200835,-41.30309868,-0.128869921,-1.5631160734999998,-0.1944131851,1.8042242230449663,
1970-01-01 00:00:00.600,3.432504058,0.5572285501,7.9214394095,-1.557202399,-2.6616142985,0.1860793531199999,4.1296998265,-37.50889969,-42.13879967,0.4589328766,-1.31632661815,-0.853905201,3.0892872173186747,
1970-01-01 00:00:00.700,6.9840509895,0.01854437588,8.534151792500001,-2.4034548995,-2.164537251,0.04955500365,-2.5924999715999997,-33.909898755,-43.065998075,1.843212366,0.29320716865,0.2594990730000001,3.2348528039593925,
1970-01-01 00:00:00.800,7.847261667,-0.18738793025,7.5001528265,-2.112080753,-1.6930395365000002,0.3274141326599999,-11.486299516,-27.327999115,-43.57229996,0.232219696,1.69138813,1.27870416645,2.7266220848534695,
1970-01-01 00:00:00.900,9.5901341435,-0.870837896845,6.4885873795,-2.217375517,-1.9059197305,-0.08254073935,-21.44759941,-17.97669935,-42.699998855,1.688591242,1.83704412,0.99647092795,2.9250807127586502,
1970-01-01 00:00:01.000,8.838338852,-1.21331065875,4.217648983,-0.4182012975,-1.9756327865,-0.2121167070999999,-31.45769882,-7.759199856,-39.16199875,-0.3133840561,2.2340074185,1.65241134145,2.0305198176219275,
1970-01-01 00:00:01.100,7.7047395705,-2.132603168,2.895016313,-0.874427855,-0.2309002727,0.2274642512199999,-39.77809906,0.4330999255,-33.507299425,-1.30284047115,0.91745614985,1.0956686138,0.9325658127531326,
1970-01-01 00:00:01.200,9.5937235365,-4.319493532,2.2941187025,-0.33924929424,1.101739347,1.07440397145,-45.64019966,6.8014996055,-28.212498665,0.00583314895,-0.5597151518,-0.47638845445,1.5758374174507523,
1970-01-01 00:00:01.300,7.832755089,-6.039633989,3.679114461,0.3820849508,0.65093410015,1.774816692,-48.275398255,11.669299605,-25.26009941,-0.0439696309999998,-1.1452333925,0.0031840801,1.9286467801460565,
1970-01-01 00:00:01.400,7.431957483,-5.550002575,2.0868403915,-0.2577011883,-0.6420004666000001,1.4315969346500002,-47.57390022,16.341899395,-25.162499425,-1.6644315719999998,1.3559081553,-3.687107086,1.5899824794208037,
1970-01-01 00:00:01.500,6.387939214499999,-5.140680313000001,3.3750762940000003,0.2678565308499999,-0.9571213125,1.706020057,-45.07900047,21.93559933,-26.675299645000003,-0.4208207129999999,2.178544283,0.8034684656500001,1.9744196015150888,
1970-01-01 00:00:01.600,4.8665525915,-9.3004529465,2.7297619585,0.5845044702,-0.0551289617999999,1.601717889,-41.80939865,27.413398745,-27.98069954,0.497040510095,-0.95377922065,3.91350352785,1.7059263976079226,
1970-01-01 00:00:01.700,5.624329567,-10.1575322155,2.772982359,0.13240114368,-0.4270585773000001,0.1963110379949999,-38.576400755,32.110399245,-28.52970028,1.17779064175,-3.1293759347499996,-0.8165732025999999,0.48831046981602433,
1970-01-01 00:00:01.800,5.182554722,-6.763911247499999,2.708376169,0.0378725305199999,-0.303667441,0.5727456659,-36.41699982,35.331199645,-28.261300085,-0.2567946910999999,0.5334625246,-0.96660989535,0.649373421922018,
1970-01-01 00:00:01.900,3.5808589455,-8.445766449,2.4065814015000004,0.12873606015,-0.0834570094035,0.37750361115,-34.403999330000005,37.52719879,-28.07829952,-0.44339692595,0.2336697578605,0.13129532338,0.4074886771835638,
1970-01-01 00:00:02.000,4.1051864625,-5.493920803,3.0016463995,0.47829341145,0.0923906490449999,0.103004116585,-32.98880005,38.667900085,-28.16979885,0.254088997835,2.8689596651,0.57297360922,0.49790608301254125,
1970-01-01 00:00:02.100,3.0732816455,-7.97767067,3.7903807165,0.4465293548949999,0.805325806,0.3930038586,-31.860300065,38.7166996,-28.822499275,-0.1684230565999999,-0.9103732108,0.4310933354,1.0011943624826216,
