Unnamed: 0,acc_Acceleration x (m/s^2),acc_Acceleration y (m/s^2),acc_Acceleration z (m/s^2),gyr_Gyroscope x (rad/s),gyr_Gyroscope y (rad/s),gyr_Gyroscope z (rad/s),mag_Magnetic field x (µT),mag_Magnetic field y (µT),mag_Magnetic field z (µT),lin_acc_Linear Acceleration x (m/s^2),lin_acc_Linear Acceleration y (m/s^2),lin_acc_Linear Acceleration z (m/s^2),average_acc_Acceleration x (m/s^2),average_acc_Acceleration y (m/s^2),average_acc_Acceleration z (m/s^2),average_gyr_Gyroscope x (rad/s),average_gyr_Gyroscope y (rad/s),average_gyr_Gyroscope z (rad/s),average_mag_Magnetic field x (µT),average_mag_Magnetic field y (µT),average_mag_Magnetic field z (µT),average_lin_acc_Linear Acceleration x (m/s^2),average_lin_acc_Linear Acceleration y (m/s^2),average_lin_acc_Linear Acceleration z (m/s^2),activity
1970-01-01 00:00:00.000,-2.012962103,3.975973845,8.375178337000001,-0.003665083554,-0.5951179266,0.1073564067,,,,,,,-2.012962103,3.975973845,8.375178337000001,-0.003665083554,-0.5951179266,0.1073564067,,,,,,,cycling
1970-01-01 00:00:00.100,-1.457378566,3.879064679,8.795268059,-0.1301104687499999,-0.904435724,0.26121355595,14.62169981,-40.223400115,-38.643499375000005,-0.1857776046,0.18661534785,0.1087932586599999,-1.7351703345,3.9275192619999997,8.585223198000001,-0.06688777615199995,-0.7497768253,0.184284981325,14.62169981,-40.223400115,-38.643499375000005,-0.1857776046,0.18661534785,0.1087932586599999,cycling
1970-01-01 00:00:00.200,-0.2986541763,4.0202412605,9.8068342195,-0.2973298951999999,-0.67804044485,0.26907821,12.511099815,-39.826898575,-39.497499465,0.074469029915,0.2394802570499999,0.5727853774499999,-1.2563316151,3.9584265948333335,8.992426871833333,-0.1437018158346666,-0.7258646984833333,0.21254939088333336,13.5663998125,-40.025149345,-39.070499420000004,-0.055654287342500004,0.21304780244999993,0.3407893180549999,cycling
1970-01-01 00:00:00.300,-0.33828529715,3.731756449,9.367451668,-0.0560452360649998,-0.135989870885,0.028786178655,11.26060009,-39.46699905,-40.05869865,-0.0105808377,-0.0008605718599999,0.06711673738,-1.0268200356125,3.901759058375,9.086183070875,-0.1217876708922499,-0.57839599158375,0.16660858782625002,12.797799905,-39.83909924666667,-39.39989916333334,-0.040629804128333336,0.14174501101333334,0.2495651244966666,cycling
1970-01-01 00:00:00.400,-0.4507479667499999,3.1812577245,8.8933739665,-0.0741415835335,-0.20196137945,0.20112146435,10.443199635,-39.241300585,-40.455198284999994,-0.1763723493,-0.6528623104,0.02005910875,-0.91160562184,3.7576587916,9.04762125,-0.11225845342049992,-0.503109069157,0.173511163131,12.2091498375,-39.689649581249995,-39.66372394375,-0.07456544042125,-0.05690681934,0.19218862055999994,cycling
1970-01-01 00:00:00.500,1.2287144511,1.3184452655,8.843274116500002,-0.2915268615,-1.689527154,0.56190313395,8.137399912,-38.808200835,-41.30309868,-0.128869921,-1.5631160734999998,-0.1944131851,-0.5548856096833333,3.3511232039166665,9.013563394416666,-0.14213652143374994,-0.7008454166308334,0.2382431582675,11.3947998524,-39.513359832,-39.991598891,-0.085426336537,-0.3581486701719999,0.11486825942799997,cycling
1970-01-01 00:00:00.600,3.432504058,0.5572285501,7.9214394095,-1.557202399,-2.6616142985,0.1860793531199999,4.1296998265,-37.50889969,-42.13879967,0.4589328766,-1.31632661815,-0.853905201,0.014741485700000048,2.9519953962285714,8.857545682285714,-0.3442887896574999,-0.9809552568978572,0.23079118610357144,10.183949848083333,-39.179283141666666,-40.34946568749999,0.005300198985833328,-0.5178449948349999,-0.0465939839766667,cycling
1970-01-01 00:00:00.700,6.9840509895,0.01854437588,8.534151792500001,-2.4034548995,-2.164537251,0.04955500365,-2.5924999715999997,-33.909898755,-43.065998075,1.843212366,0.29320716865,0.2594990730000001,0.8859051736750001,2.585314018685,8.817121446062501,-0.6016845533878123,-1.128903006160625,0.208136663296875,8.358742730985714,-38.42651394357143,-40.73754174285715,0.26785907998785713,-0.4019804000514285,-0.0028664044085714435,cycling
1970-01-01 00:00:00.800,7.847261667,-0.18738793025,7.5001528265,-2.112080753,-1.6930395365000002,0.3274141326599999,-11.486299516,-27.327999115,-43.57229996,0.232219696,1.69138813,1.27870416645,1.659389228488889,2.277236024358889,8.670791599444446,-0.7695063533447222,-1.191584842865,0.22138971544833333,5.8781124501125,-37.03919959,-41.09188652,0.26340415698937497,-0.14030933379499996,0.15732991694874998,cycling
1970-01-01 00:00:00.900,9.5901341435,-0.870837896845,6.4885873795,-2.217375517,-1.9059197305,-0.08254073935,-21.44759941,-17.97669935,-42.699998855,1.688591242,1.83704412,0.99647092795,2.45246371999,1.9624286322385,8.45257117745,-0.9142932697102498,-1.2630183316285,0.1909966699685,2.8419222434333333,-34.92114400777778,-41.27056566833333,0.4217582775461111,0.0793966055155556,0.25056780706000004,cycling
1970-01-01 00:00:01.000,8.838338852,-1.21331065875,4.217648983,-0.4182012975,-1.9756327865,-0.2121167070999999,-31.45769882,-7.759199856,-39.16199875,-0.3133840561,2.2340074185,1.65241134145,3.5375938154899997,1.4435001818635,8.03681824205,-0.9557468911048499,-1.4010698176185001,0.1590493585885,-0.58803986291,-32.2049495926,-41.0597089765,0.3482440441815,0.29485768681400004,0.39075216049899997,cycling
