"event","experiment time","system time","system time text"
"START",0.000000000E0,1717929657.284,"2024-06-09 12:40:57.284 UTC+02:00"
"PAUSE",2.226688213E2,1717929879.953,"2024-06-09 12:44:39.953 UTC+02:00"
