"event","experiment time","system time","system time text"
"START",0.000000000E0,1717925732.177,"2024-06-09 11:35:32.177 UTC+02:00"
"PAUSE",3.960989651E2,1717926128.276,"2024-06-09 11:42:08.276 UTC+02:00"
