"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.520563801E0,2.544178963E-1,4.895940721E-1,-1.679219127E0
4.571363176E0,-1.394106150E0,-4.940074444E0,1.270104170E0
4.622163332E0,-5.795413256E-1,2.218750000E0,9.101623893E-1
4.672962603E0,-2.914046764E0,4.849516392E0,-3.908048153E0
4.723761144E0,-3.200228691E0,-3.380275965E0,-1.643484592E0
4.774560571E0,-6.714433193E0,1.778329134E0,1.521009684E0
4.825360676E0,1.098150611E0,-3.448385477E0,1.802762985E0
4.876159998E0,3.646910906E0,-1.294538021E0,6.303943992E-1
4.926958540E0,-9.226847887E-1,3.885446787E0,1.738929391E0
4.977757967E0,3.376610994E0,-1.638445020E0,-3.691044450E-1
5.028558175E0,3.633472204E0,3.841923952E0,-3.600639105E0
5.079357498E0,4.705967426E0,-2.036412001E0,-2.368865728E0
5.130156092E0,2.121778011E0,-1.949060917E0,-8.756495714E-1
5.180955467E0,-6.293253899E-1,1.150530815E0,6.479562521E-1
5.231755623E0,-1.208408594E0,-4.810422286E-2,1.170536041E0
5.282554946E0,-2.437127829E0,-7.235485911E-1,1.099525094E0
5.333353540E0,1.528950691E0,5.235266209E0,-7.907418013E-1
5.384152967E0,1.591257095E0,-6.708935261E0,-2.755532026E0
5.434953175E0,6.117635369E-1,-4.290896416E0,1.915006161E0
5.485752550E0,-1.421746969E0,2.479734421E0,5.498847008E0
5.536551144E0,-7.113010883E0,1.665322304E0,2.498670816E0
5.587350623E0,-5.259394646E-1,-1.831320047E0,2.137965336E-2
5.638150780E0,-1.572168112E0,-9.152019024E-1,-7.046123147E-1
5.688950155E0,-3.054236295E-3,2.120403528E0,-2.478512824E-1
5.739748748E0,2.366880417E0,1.425259352E0,-1.150378108E0
5.790548227E0,3.656073570E0,2.257538795E0,-6.174138784E-1
5.841348384E0,9.868237376E-1,6.060521126E0,-7.844805717E-1
5.892147759E0,2.546927691E0,3.605831385E0,-9.223793447E-2
5.942946405E0,3.369280815E0,-2.507833481E0,-1.204438090E0
5.993745884E0,1.105786204E0,-3.100049868E-2,-7.212579250E-1
6.044546092E0,-1.401283622E0,-3.375236511E0,1.201231122E0
6.095345519E0,-1.544679999E0,-2.923973083E0,2.585716486E0
6.146144113E0,7.956285775E-2,3.359049082E0,7.287407517E-1
6.196943540E0,1.394106150E0,3.177932799E-1,-2.157207012E0
6.247743800E0,-4.046863019E-1,2.301825285E0,1.555369854E0
6.298543175E0,-4.823402882E0,5.579173565E0,1.235591292E0
6.349341821E0,-7.600314140E0,1.402657986E0,-7.769976854E-1
6.400141300E0,-2.101009130E0,-1.305838704E0,-1.376697063E0
6.450941561E0,-9.358180165E-1,-9.617789984E-1,-9.182561636E-1
6.501740936E0,1.296065211E0,-5.748072863E-1,-2.672456764E-2
6.552539582E0,3.236726999E0,4.308000207E-1,7.114843726E-1
6.603339113E0,4.127494812E0,1.930277348E-1,2.270061016E0
6.654139321E0,3.505499601E0,-8.663341403E-1,1.911493778E0
6.704938748E0,3.270628929E0,-1.673874259E0,-1.602099657E0
6.755737394E0,2.049239874E0,-3.927595139E0,-1.166718245E0
6.806536925E0,-1.415638477E-1,-7.337802649E-1,-2.771719396E-1
6.857337186E0,-1.046686769E0,-8.840487003E-1,8.273926377E-1
6.908136665E0,-1.740151167E0,-1.943715930E0,1.399451017E0
6.958935259E0,8.674030751E-2,3.447927237E0,-8.501466513E-1
7.009734790E0,8.368607163E-1,1.101357579E0,-2.777369738E0
7.060535050E0,5.654918551E-1,-2.903357029E0,3.385621011E-1
7.111334477E0,-2.886558771E0,4.292729199E-1,3.678064108E0
7.162133175E0,-5.991189957E0,3.468848944E0,2.285943270E0
7.212932707E0,-4.476593971E0,4.853181541E-1,-4.136963189E-1
7.263733019E0,-1.255138397E0,-3.122956753E-1,-1.858655453E0
7.314532498E0,-3.712424338E-1,-2.356343269E-1,-2.415900975E-1
7.365331144E0,1.183363795E0,1.882936716E0,2.632751763E-1
7.416130675E0,2.545553207E0,2.440181971E0,4.007157981E-1
7.466930988E0,3.432503462E0,1.757560253E0,2.208365440E0
7.517730415E0,2.383526087E0,9.920159578E-1,2.333894730E0
7.568529165E0,4.351370335E0,-5.074613571E0,-4.504998624E-1
7.619328696E0,1.744579792E0,-3.021555901E0,-7.886037827E-1
7.670129009E0,3.527642787E-1,6.291726977E-2,-5.021164417E-1
7.720928436E0,-1.798639774E0,-1.803984642E0,3.358132839E-1
7.771727186E0,-3.229549408E0,2.397575527E-1,1.226123214E0
7.822526769E0,1.438392639E0,1.080130696E0,-1.216655016E0
7.873327082E0,1.569266558E0,-3.229855001E-1,-1.090515018E0
7.924126613E0,4.233171642E-1,1.060430884E0,1.792683959E0
7.974925311E0,-5.015513897E0,1.550788522E0,2.099176645E0
8.025724842E0,-7.410799026E0,2.683757544E0,4.581354558E-2
8.076525207E0,-1.546818018E0,-4.293339729E0,-8.690829277E-1
8.127324686E0,-5.372401476E-1,-3.891555071E0,-3.432961702E-1
8.178123436E0,-9.982771277E-1,7.656970620E-1,-5.819846988E-1
8.228923019E0,2.153083801E0,3.640954971E0,-1.443126678E0
8.279723332E0,3.941491842E0,2.441861868E0,5.016583204E-1
8.330522863E0,2.871592999E0,5.458378315E0,9.831586480E-1
8.381321613E0,4.050986290E0,-5.821221828E0,-2.794626169E-2
8.432121248E0,2.682993889E0,-1.875148416E0,-1.241852522E0
8.482921561E0,3.245126009E-1,2.077033281E0,-3.211529553E-1
8.533721092E0,-9.869764447E-1,2.067412615E0,6.603258848E-1
8.584519894E0,-2.170798540E0,-1.801999360E-1,5.636593103E-1
8.635319477E0,-6.230641901E-2,-2.450108290E0,-1.038287640E0
8.686119842E0,2.079018593E0,1.922641695E-1,-1.631878495E0
8.736919373E0,-3.593308926E-1,-3.414636135E0,-3.573456407E-1
8.787718175E0,-2.928859949E0,-1.877591729E0,4.287537098E0
8.838517811E0,-6.469635963E0,1.166870952E0,2.713841677E0
