"event","experiment time","system time","system time text"
"START",0.000000000E0,1717929993.358,"2024-06-09 12:46:33.358 UTC+02:00"
"PAUSE",1.635939008E2,1717930156.951,"2024-06-09 12:49:16.951 UTC+02:00"
