"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.965896353E0,-2.070619583E0,-9.617789984E-1,-1.774511337E-1
4.016696770E0,1.714953631E-1,-1.761530757E0,9.888089895E-1
4.067498072E0,4.166589260E0,-2.831887960E0,1.017060652E-1
4.118300156E0,1.780314326E0,-8.128849864E-1,-1.105480790E0
4.169101406E0,2.881519318E0,2.703762770E0,-8.616000414E-1
4.219901874E0,2.160413980E0,4.431696892E0,-3.193509579E0
4.270703176E0,4.357326031E0,1.231162667E0,-2.010298252E0
4.321505260E0,2.377112150E0,-2.264716178E-1,-5.500679612E-1
4.372306562E0,-7.154548764E-1,2.591672182E0,-5.410579443E-1
4.423107031E0,-1.556438804E0,1.060583591E0,5.453338623E-1
4.473908385E0,-1.880798697E0,-1.243685007E0,1.670361876E0
4.524710468E0,-1.350277901E0,-2.173394442E0,4.691306949E-1
4.575511770E0,2.754462957E0,4.586088657E0,-8.098307252E-1
4.626312239E0,2.400629759E0,-5.559931755E0,-7.229377031E-1
4.677113593E0,-1.258345395E-1,-4.306473255E0,1.326912999E0
4.727915728E0,-7.362083912E0,6.160394549E-1,3.953708887E0
4.778717031E0,-3.975241184E0,-4.778505325E0,7.973083854E-1
4.829517551E0,-2.214015961E0,1.097539783E0,-2.249445021E-1
4.880318906E0,-1.182447553E0,1.122431830E-1,8.463288546E-1
4.931121041E0,2.936342716E0,1.147323847E0,-1.378987730E-1
4.981922395E0,1.338060975E0,4.001049697E-2,3.019112647E-1
5.032722864E0,3.056374311E0,2.969786644E0,-7.847860456E-1
5.083524270E0,1.889350533E0,3.516189575E0,-3.394325495E0
5.134326406E0,3.265436649E0,-3.617742956E-1,-2.117654800E0
5.185127760E0,1.779245377E0,-6.962131858E-1,-1.224901438E0
5.235928281E0,-1.240325332E0,1.226886749E0,6.936170459E-1
5.286729687E0,-1.399451017E0,1.634016484E-1,8.962656260E-1
5.337531874E0,-2.145142794E0,6.032116711E-2,1.318513751E0
5.388333228E0,2.516537905E0,5.544965863E-1,-1.043632507E0
5.439133749E0,5.121954083E-1,-8.420529366E-1,-3.434488773E-1
5.489935208E0,-1.651272893E0,-2.575637579E0,2.309308052E0
5.540737343E0,-3.560170650E0,8.373188972E-1,2.797222376E0
