"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.229788060E-1,1.329800010E0,-4.526199722E1,-2.884079933E1
1.729788060E-1,1.439599991E0,-4.540839767E1,-2.863339996E1
2.229788060E-1,1.158999920E0,-4.551819992E1,-2.832839966E1
2.729788060E-1,5.367999673E-1,-4.557920074E1,-2.792580032E1
3.229788060E-1,-3.659999967E-1,-4.549379730E1,-2.748659897E1
3.729788060E-1,-1.207800031E0,-4.523759842E1,-2.744999886E1
4.229783850E-1,-1.659199953E0,-4.463980103E1,-2.797459984E1
4.729783850E-1,-1.915399909E0,-4.373699951E1,-2.887739944E1
5.229783850E-1,-2.696199894E0,-4.211439896E1,-3.024379921E1
5.729783850E-1,-3.635599852E0,-4.008919907E1,-3.184199905E1
6.229783850E-1,-4.562799931E0,-3.745399857E1,-3.379399872E1
6.729783850E-1,-5.551000118E0,-3.372079849E1,-3.619739914E1
7.229783850E-1,-6.319600105E0,-2.912139893E1,-3.895459747E1
7.729783850E-1,-6.844199657E0,-2.389979935E1,-4.161420059E1
8.229783850E-1,-7.746999741E0,-1.828779984E1,-4.368819809E1
8.729783850E-1,-8.991399765E0,-1.273680019E1,-4.507899857E1
9.229783850E-1,-1.051639938E1,-7.722599983E0,-4.562799835E1
9.729783850E-1,-1.229759979E1,-3.123199940E0,-4.572559738E1
1.022978385E0,-1.424959946E1,7.197999954E-1,-4.534740067E1
1.072978385E0,-1.605520058E1,3.233000040E0,-4.446899796E1
1.122978385E0,-1.794619942E1,4.623799801E0,-4.324900055E1
1.172978385E0,-1.998359871E1,5.099599838E0,-4.179719925E1
1.222978385E0,-2.169159889E1,4.697000027E0,-4.055279922E1
1.272978385E0,-2.286279869E1,4.026000023E0,-3.973539734E1
1.322978385E0,-2.325319862E1,3.379400015E0,-3.946699905E1
1.372978385E0,-2.305799866E1,2.793799877E0,-3.951580048E1
1.422978385E0,-2.258219910E1,2.281399965E0,-3.986959839E1
1.472978645E0,-2.215519905E1,1.988600016E0,-4.021120071E1
1.522978645E0,-2.159399986E1,2.000799894E0,-4.079679871E1
1.572978645E0,-2.077659988E1,2.391200066E0,-4.162639999E1
1.622978541E0,-1.986159897E1,3.367199898E0,-4.239500046E1
1.672978541E0,-1.937360001E1,4.794600010E0,-4.266339874E1
1.722978541E0,-1.961759949E1,6.587999821E0,-4.215100098E1
1.772978541E0,-2.022760010E1,9.052399635E0,-4.101639938E1
1.822978541E0,-2.055699921E1,1.221220016E1,-3.964999771E1
1.872978541E0,-1.977619934E1,1.590880013E1,-3.867399979E1
1.922978541E0,-1.859280014E1,1.987380028E1,-3.752719879E1
1.972978541E0,-1.764119911E1,2.392420006E1,-3.585580063E1
2.022978541E0,-1.682379913E1,2.782819939E1,-3.370859909E1
2.072978541E0,-1.555499935E1,3.168339920E1,-3.106119919E1
2.122978541E0,-1.363959980E1,3.514820099E1,-2.891399956E1
2.172978541E0,-1.115079975E1,3.751499939E1,-2.813319969E1
2.222978541E0,-8.344799995E0,3.869839859E1,-2.830399895E1
2.272978541E0,-6.136600018E0,3.872279739E1,-2.880419922E1
2.322978541E0,-4.001599789E0,3.830799866E1,-2.936540031E1
2.372978541E0,-1.073599935E0,3.727099991E1,-3.041459846E1
2.422978541E0,2.086199999E0,3.558739853E1,-3.215919876E1
2.472978541E0,5.111799717E0,3.350119781E1,-3.444059753E1
2.522978541E0,8.039799690E0,3.165899849E1,-3.635599899E1
2.572978541E0,1.067500019E1,3.053660011E1,-3.718560028E1
2.622979583E0,1.290759945E1,3.020719910E1,-3.681959915E1
2.672979583E0,1.460339928E1,3.068299866E1,-3.580699921E1
2.722979583E0,1.581120014E1,3.136619949E1,-3.489199829E1
2.772979583E0,1.611619949E1,3.254959869E1,-3.365979767E1
2.822979583E0,1.632359886E1,3.434299850E1,-3.164679909E1
2.872979583E0,1.661639977E1,3.606319809E1,-2.952400017E1
2.922979583E0,1.650659943E1,3.780780029E1,-2.686439896E1
