"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.184515130E-1,-2.748659897E1,-1.288319969E1,-3.679520035E1
1.684515130E-1,-2.734020042E1,-1.295639992E1,-3.661219788E1
2.184515130E-1,-2.763299942E1,-1.300519943E1,-3.640480042E1
2.684515130E-1,-2.798679924E1,-1.293200016E1,-3.594120026E1
3.184515130E-1,-2.837719917E1,-1.293200016E1,-3.556299973E1
3.684515130E-1,-2.885299873E1,-1.288319969E1,-3.507500076E1
4.184519800E-1,-2.943859863E1,-1.282219982E1,-3.442839813E1
4.684519800E-1,-3.013399887E1,-1.282219982E1,-3.362319946E1
5.184519800E-1,-3.137839890E1,-1.284659958E1,-3.214699936E1
5.684519800E-1,-3.280579758E1,-1.271239948E1,-3.058539963E1
6.184519800E-1,-3.417219925E1,-1.257819939E1,-2.891399956E1
6.684519800E-1,-3.553860092E1,-1.268799973E1,-2.705959892E1
7.184519800E-1,-3.694160080E1,-1.305399990E1,-2.471719933E1
7.684519800E-1,-3.832019806E1,-1.340779972E1,-2.216740036E1
8.184519800E-1,-3.973539734E1,-1.338339996E1,-1.952000046E1
8.684519800E-1,-4.118719864E1,-1.299300003E1,-1.677499962E1
9.184519800E-1,-4.241939926E1,-1.235859966E1,-1.399339962E1
9.684519800E-1,-4.367599869E1,-1.169979954E1,-1.084579945E1
1.018451980E0,-4.498139954E1,-1.080919933E1,-7.661599636E0
1.068451980E0,-4.631119919E1,-9.210999489E0,-4.135799885E0
1.118451980E0,-4.756779861E1,-6.673399925E0,-8.417999744E-1
1.168452083E0,-4.869020081E1,-3.733199835E0,2.342400074E0
1.218452083E0,-4.955640030E1,-9.515999556E-1,5.441199780E0
1.268452083E0,-5.005659866E1,1.659199953E0,8.454599380E0
1.318452083E0,-5.047139740E1,4.269999981E0,1.091899967E1
1.368452083E0,-5.072760010E1,7.100399971E0,1.267579937E1
1.418452083E0,-5.078860092E1,1.028460026E1,1.433500004E1
1.468452083E0,-5.050799942E1,1.365180016E1,1.553059959E1
1.518452083E0,-4.993460083E1,1.689699936E1,1.646999931E1
1.568452083E0,-4.898299789E1,2.043499947E1,1.722640038E1
1.618452083E0,-4.766539764E1,2.429019928E1,1.772659874E1
1.668452083E0,-4.581100082E1,2.840159988E1,1.849519920E1
1.718452083E0,-4.345639801E1,3.248859787E1,1.964200020E1
1.768452083E0,-4.090660095E1,3.646579742E1,2.072780037E1
1.818452083E0,-3.799079895E1,4.013800049E1,2.148419952E1
1.868452083E0,-3.484320068E1,4.341979980E1,2.178919983E1
1.918452083E0,-3.146379852E1,4.643320084E1,2.161839867E1
1.968452083E0,-2.755979919E1,4.881219864E1,2.136219978E1
2.018452083E0,-2.410719872E1,5.060559845E1,2.119140053E1
2.068452083E0,-2.127680016E1,5.204520035E1,2.014220047E1
2.118452083E0,-1.893440056E1,5.344820023E1,1.856839943E1
2.168452083E0,-1.664080048E1,5.468040085E1,1.645779991E1
2.218452083E0,-1.457899952E1,5.565639877E1,1.377379990E1
2.268452083E0,-1.290759945E1,5.631520081E1,1.083360004E1
2.318452083E0,-1.169979954E1,5.664459991E1,7.905600071E0
2.368452083E0,-1.144359970E1,5.683979797E1,4.880000114E0
2.418452083E0,-1.116300011E1,5.703499985E1,1.512799978E0
2.468452083E0,-1.096780014E1,5.705939865E1,-1.793399930E0
2.518452083E0,-1.094339943E1,5.696179962E1,-4.806799889E0
2.568452083E0,-1.122399998E1,5.679100037E1,-6.770999908E0
2.618452083E0,-1.165100002E1,5.662019730E1,-7.588399887E0
2.668452083E0,-1.207800007E1,5.663240051E1,-6.807600021E0
2.718452083E0,-1.252939987E1,5.663240051E1,-5.026400089E0
2.768452083E0,-1.323699951E1,5.655920029E1,-2.427799940E0
2.818452083E0,-1.393239975E1,5.635179901E1,1.000399947E0
2.868452083E0,-1.433500004E1,5.610779953E1,5.014199734E0
2.918452083E0,-1.429839993E1,5.565639877E1,9.479399681E0
2.968452083E0,-1.393239975E1,5.497319794E1,1.416419983E1
3.018452083E0,-1.351760006E1,5.421680069E1,1.864159966E1
3.068452083E0,-1.326139927E1,5.339939880E1,2.172819901E1
3.118452083E0,-1.307839966E1,5.303339767E1,2.333860016E1
3.168452083E0,-1.268799973E1,5.309439850E1,2.294820023E1
3.218452083E0,-1.224879932E1,5.338719940E1,2.097179985E1
