"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.112032830E-1,-2.636671066E-1,-1.508851051E-1,-1.213226318E-1
1.612032830E-1,4.607522488E-2,2.472114563E-2,-3.657469749E-1
2.112032830E-1,3.621339798E-1,1.803202629E-1,-5.609827042E-1
2.612032830E-1,6.236703396E-1,1.039433479E-1,1.191352844E0
3.112032830E-1,-8.053059578E-1,-5.199813843E-2,-2.572412491E-1
3.612032830E-1,-1.183288932E0,-6.620135307E-1,1.545777321E0
4.112032830E-1,4.294385910E-1,2.199149132E-1,9.877862930E-1
4.612032830E-1,-8.754587173E-2,1.372213364E-1,4.666290283E-1
5.112032830E-1,9.568419456E-1,4.374794960E-1,-9.155898094E-1
5.612032830E-1,-3.946747780E-1,3.713221550E-1,1.058989525E0
6.112032830E-1,-7.876040936E-1,-9.563727379E-1,9.765377045E-1
6.612032830E-1,1.287631035E0,1.351722240E0,-1.316309452E0
7.112032830E-1,-7.609395981E-1,-3.223137379E0,-4.167588234E0
7.612032830E-1,3.858499527E-1,-6.237886429E0,-4.577159882E0
8.112032830E-1,2.097973824E0,-3.732470989E0,-1.636354923E0
8.612032830E-1,2.396728992E0,-3.495386124E0,1.748897076E0
9.112032830E-1,5.977106094E-1,-2.154622793E0,6.639476299E0
9.612032830E-1,1.844649315E0,9.250376225E-1,6.661273479E0
1.011203283E0,1.656960487E0,2.045055389E0,1.223184490E1
1.061203283E0,-1.495543003E0,-2.543910503E0,-4.500308037E0
1.111203283E0,1.414013863E0,1.342369556E0,-3.112643480E0
1.161203283E0,3.351700783E0,2.988751411E0,-1.352097154E0
1.211203283E0,3.138492584E0,2.472351551E0,1.045018435E0
1.261203283E0,7.456722260E-1,2.409002781E0,5.610161424E-1
1.311203283E0,-1.788582802E0,3.071696281E0,1.015954971E0
1.361203283E0,1.584910393E0,3.146257401E-1,-1.446726441E0
1.411203283E0,7.675299644E-1,2.645597458E-1,-6.884436607E-1
1.461203283E0,-2.113280296E-1,-1.958007812E-1,3.100597858E-1
1.511203283E0,-2.355000973E0,1.392417431E0,-1.307268381E0
1.561203283E0,2.668142319E-2,-6.877708435E-1,1.955088615E0
1.611203283E0,1.001760483E0,8.067622185E-1,-6.826400757E-2
1.661203283E0,1.006556511E0,2.597677231E0,1.571866989E0
1.711203283E0,2.098538160E0,-3.345655441E0,-2.790831089E0
1.761203283E0,2.014290810E0,-2.228606224E0,2.623988152E0
1.811203283E0,1.997161031E0,2.407264709E-2,2.075257540E0
1.861203283E0,2.614303231E-1,2.258565903E0,1.899362564E0
1.911203283E0,3.409787714E-1,1.668376923E-1,3.632631898E-1
1.961203283E0,1.002010942E0,7.529516220E-1,-1.801357388E0
2.011203283E0,-2.444983482E0,-4.666280746E-1,-1.774473906E0
2.061203283E0,-1.199411631E0,-4.177856445E-2,-3.463058233E0
