"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.257995000E-2,2.176870346E0,4.746761799E0,8.090133667E0
1.225799500E-1,1.721935034E0,4.586442947E0,8.056633949E0
1.725799500E-1,2.049751759E0,4.603192329E0,7.214061260E0
2.225799500E-1,2.629412889E0,4.653441906E0,7.726424217E0
2.725799500E-1,2.634198666E0,4.253840446E0,8.291429520E0
3.225799500E-1,2.095514536E0,4.282554150E0,8.580961227E0
3.725799500E-1,1.738684773E0,3.425325632E0,9.730113983E0
4.225799500E-1,3.843172312E0,4.342374802E0,8.870791435E0
4.725799500E-1,3.958027840E0,5.453242779E0,8.375178337E0
5.225799500E-1,4.942076206E0,4.713262558E0,7.450950623E0
5.725799500E-1,3.670589924E0,3.949652910E0,8.434998512E0
6.225799500E-1,4.221238136E0,3.827618837E0,8.561818123E0
6.725799500E-1,6.184549332E0,5.572884083E0,5.420640469E0
7.225799500E-1,4.511068821E0,1.299302697E0,1.298106313E-1
7.725799500E-1,5.736792088E0,-3.620340586E0,1.542473316E0
8.225799500E-1,8.820542336E0,-2.499901533E0,3.984348774E0
8.725799500E-1,9.600901604E0,-8.913264424E-2,8.339285851E0
9.225799500E-1,9.945767403E0,-1.219143152E0,9.895218849E0
9.725799500E-1,1.130788136E1,-1.345962733E-1,1.192792225E1
1.022579950E0,9.780363083E0,-5.488536954E-1,9.416654587E0
1.072579950E0,9.224929810E0,-2.954836845E0,-3.456432343E0
1.122579950E0,1.106142044E1,-1.987837434E0,-2.467897415E0
1.172579950E0,1.805444527E1,3.786941051E0,2.324477577E1
1.222579950E0,1.101326561E1,-3.330809116E0,1.149751306E0
1.272579950E0,8.645566940E0,-2.579163790E0,-1.118644550E-1
1.322579950E0,6.694519520E0,-2.550449848E0,2.231307179E-1
1.372579950E0,9.739685059E0,-5.262714386E0,-3.290131316E-2
1.422579950E0,8.595317841E0,-5.973980904E0,-5.787639618E-1
1.472579950E0,6.766304016E0,-6.661019802E0,3.188436031E-1
1.522579950E0,4.970789909E0,-6.380760670E0,-3.090330362E0
1.572579950E0,4.791028976E0,-1.053470039E1,7.019943595E-1
1.622579950E0,3.859921932E0,-6.558128834E0,-1.887338907E-1
