"Time (s)","Distance (cm)"
1.654040981E2,0.000000000E0
1.655936932E2,5.000000000E0
1.664343973E2,0.000000000E0
1.666293646E2,5.000000000E0
1.673594869E2,0.000000000E0
1.676849139E2,5.000000000E0
1.725279924E2,0.000000000E0
1.726767985E2,5.000000000E0
1.766455632E2,0.000000000E0
1.769431955E2,5.000000000E0
1.775184834E2,0.000000000E0
1.781187997E2,5.000000000E0
1.784593311E2,0.000000000E0
1.792512811E2,5.000000000E0
1.795594068E2,0.000000000E0
1.802098555E2,5.000000000E0
1.806187731E2,0.000000000E0
1.811512104E2,5.000000000E0
1.818771030E2,0.000000000E0
1.821843160E2,5.000000000E0
1.839032008E2,0.000000000E0
1.839769194E2,5.000000000E0
1.869841886E2,0.000000000E0
1.871594259E2,5.000000000E0
1.919435700E2,0.000000000E0
1.923344022E2,5.000000000E0
1.929592549E2,0.000000000E0
1.933932707E2,5.000000000E0
1.938183696E2,0.000000000E0
1.943593340E2,5.000000000E0
1.948326988E2,0.000000000E0
1.953442114E2,5.000000000E0
1.959933885E2,0.000000000E0
1.964344421E2,5.000000000E0
1.967513517E2,0.000000000E0
1.974348030E2,5.000000000E0
1.980261671E2,0.000000000E0
1.984273088E2,5.000000000E0
1.988937316E2,0.000000000E0
1.994017974E2,5.000000000E0
2.001094870E2,0.000000000E0
2.004768216E2,5.000000000E0
2.012845437E2,0.000000000E0
2.014715864E2,5.000000000E0
2.072599641E2,0.000000000E0
2.074106429E2,5.000000000E0
2.082937324E2,0.000000000E0
2.085434632E2,5.000000000E0
2.092933328E2,0.000000000E0
2.095855038E2,5.000000000E0
2.113347454E2,0.000000000E0
2.115935487E2,5.000000000E0
2.123346882E2,0.000000000E0
2.125594214E2,5.000000000E0
2.132768550E2,0.000000000E0
2.136681852E2,5.000000000E0
2.141723731E2,0.000000000E0
2.157595999E2,5.000000000E0
2.162517673E2,0.000000000E0
2.166267396E2,5.000000000E0
2.176184247E2,0.000000000E0
2.178935080E2,5.000000000E0
2.182435210E2,0.000000000E0
2.188896578E2,5.000000000E0
2.193698104E2,0.000000000E0
2.199511889E2,5.000000000E0
2.202853627E2,0.000000000E0
2.209346618E2,5.000000000E0
2.214933278E2,0.000000000E0
2.219274974E2,5.000000000E0
2.224938701E2,0.000000000E0
2.228766947E2,5.000000000E0
2.306943265E2,0.000000000E0
2.308933445E2,5.000000000E0
2.504352927E2,0.000000000E0
2.506934705E2,5.000000000E0
2.685844056E2,0.000000000E0
2.687895648E2,5.000000000E0
2.735945776E2,0.000000000E0
2.740014438E2,5.000000000E0
2.916018536E2,0.000000000E0
2.921095712E2,5.000000000E0
2.928687672E2,0.000000000E0
2.932344034E2,5.000000000E0
2.999182333E2,0.000000000E0
3.001016836E2,5.000000000E0
3.009433964E2,0.000000000E0
3.011022596E2,5.000000000E0
3.019513775E2,0.000000000E0
3.021108942E2,5.000000000E0
3.090195318E2,0.000000000E0
3.093439397E2,5.000000000E0
3.170020098E2,0.000000000E0
3.171516057E2,5.000000000E0
3.260687437E2,0.000000000E0
3.265770739E2,5.000000000E0
3.269518014E2,0.000000000E0
3.275936028E2,5.000000000E0
3.312266250E2,0.000000000E0
3.316435034E2,5.000000000E0
3.361689489E2,0.000000000E0
3.366345602E2,5.000000000E0
3.372306488E2,0.000000000E0
3.376278180E2,5.000000000E0
3.382598489E2,0.000000000E0
3.386514969E2,5.000000000E0
3.390017214E2,0.000000000E0
3.396845955E2,5.000000000E0
3.413099589E2,0.000000000E0
3.415092989E2,5.000000000E0
3.423514027E2,0.000000000E0
3.425107996E2,5.000000000E0
3.444358235E2,0.000000000E0
3.446937921E2,5.000000000E0
3.496274994E2,0.000000000E0
3.501111333E2,5.000000000E0
3.507351162E2,0.000000000E0
3.512518037E2,5.000000000E0
3.590772000E2,0.000000000E0
3.595600956E2,5.000000000E0
3.599514053E2,0.000000000E0
3.604269393E2,5.000000000E0
3.631844879E2,0.000000000E0
3.633345445E2,5.000000000E0
3.798185833E2,0.000000000E0
3.803689024E2,5.000000000E0
3.807095875E2,0.000000000E0
3.830765530E2,5.000000000E0
3.855434833E2,0.000000000E0
3.863012774E2,5.000000000E0
