"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.739640800E-2,-3.542914093E-1,3.119902313E-1,-3.994941115E-1
1.181973460E-1,-2.425063550E-1,3.817795310E-3,-3.330644667E-1
1.689991690E-1,-2.909159958E-1,-3.710896969E-1,-3.038965166E-1
2.198017730E-1,-5.932853818E-1,-8.362498879E-1,-5.018110275E-1
2.706034920E-1,-3.655920923E-1,-6.381826997E-1,-6.219952106E-1
3.214045330E-1,-3.761292100E-1,-8.867974877E-1,-3.446705639E-1
3.722064080E-1,-1.264453828E-1,-8.869501948E-1,8.964183182E-2
4.230094800E-1,2.370087355E-1,-1.221694469E0,-2.825168520E-2
4.738111980E-1,5.546492934E-1,-1.341725945E0,1.012479365E-1
5.246122400E-1,-2.029540092E-1,-4.940227270E-1,3.016058207E-1
5.754141150E-1,-1.374406274E-3,-3.706315756E-1,1.437018216E-1
6.262167190E-1,9.932376146E-1,-8.506048322E-1,-8.276980370E-2
6.770185940E-1,6.248967648E-1,-1.793294787E0,-9.810206890E-1
7.278195840E-1,-1.730835676E0,-1.928750277E0,-6.430694461E-1
7.786214590E-1,-4.243250370E0,-2.686964273E0,-7.070557028E-2
8.294241150E-1,-5.141043186E0,-3.483356476E0,-7.269082218E-2
8.802258860E-1,-5.655223846E0,-2.968564987E0,-3.949127495E-1
9.310269800E-1,-4.080307007E0,-2.506764412E0,2.417428046E-1
9.818289070E-1,-3.086763859E0,-1.355775476E0,7.476770282E-1
1.032631511E0,-1.893626526E-2,-1.886143565E0,1.153890491E0
1.083433334E0,-1.218487620E0,-1.355928183E0,2.346722364E0
1.134234531E0,-2.129108191E0,-6.012263894E-1,1.794516563E0
1.185036458E0,4.259132445E-1,-7.252284288E-1,4.564556181E-1
1.235839114E0,1.435490996E-1,-1.428008199E0,5.792359114E-1
1.286640937E0,-4.285093546E-1,6.878139973E-1,6.864396334E-1
1.337442083E0,-3.329117596E-1,7.502731681E-1,1.544527292E0
1.388244010E0,-6.074876189E-1,-2.551814318E-1,1.732057452E0
1.439046666E0,-7.588250041E-1,-4.511106908E-1,2.392383337E0
1.489848593E0,-1.517955512E-1,-4.146125913E-1,2.105895996E0
1.540649635E0,1.823379099E-1,-4.475983381E-1,2.307933569E0
1.591451614E0,3.997995257E-1,-2.322746664E-1,2.229745150E0
1.642254322E0,-3.574983478E-1,-3.329575777E0,1.927528501E0
1.693056249E0,6.659762263E-1,-1.791462302E0,8.840487003E-1
1.743857291E0,-2.137965336E-2,1.321720719E0,1.677539229E0
1.794659270E0,6.164975762E-1,-1.122737288E0,1.251778722E0
1.845461978E0,1.123195410E0,3.833066523E-1,1.677997470E0
1.896263958E0,1.015533581E-1,2.307170153E0,2.512872934E0
1.947065051E0,-6.693359017E-1,2.044963837E0,4.375193596E0
