Time window,Time (s)_acc,Time (s)_gyro,Time (s)_mag,Time (s)_lin_acc,Time (s)_prox,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Distance (cm)
0.63,,,0.65352198,,,,,,,,,2.110599995,-36.56340027,-39.3205986,,,,
0.6599999999999999,0.674874018,0.676948178,,0.661081361,,4.812564373,4.497908592,9.260822296,-0.3565820754,-2.5658638480000002,-0.2218902707,,,,1.3978433609999998,1.447230816,0.6536340714,
0.69,,,0.70352198,0.711081361,,,,,,,,1.049199939,-37.01480103,-38.39339828,2.5325455669999997,0.21807312969999998,2.7815027239999996,
0.72,0.724874018,0.727754063,,,,7.398308277000001,4.718048096,10.5538435,0.2619007528,-1.12319541,-0.3121429384,,,,,,,
0.75,0.774874018,0.778559219,0.75352198,0.7610813609999999,,6.8907308579999995,1.584347725,7.936992645,0.20585553350000002,-0.03985778242,-1.33103621,-0.2683999836,-37.58819962,-37.22219849,1.8653063769999998,-1.042803764,-0.04840278625,
0.78,,,0.80352198,,,,,,,,,-1.354200006,-38.1493988,-35.98999786,,,,
0.8099999999999999,0.8248740179999999,0.8293652090000001,,0.811081361,,3.9197425839999998,2.869891644,6.1462640760000005,0.26846736670000004,-0.17393875120000002,-1.6405830380000002,,,,-0.1874585152,-1.812605381,-1.575819492,
0.84,,,0.85352198,0.861081361,,,,,,,,-2.037400007,-38.74720001,-34.96519852,-0.292781353,-2.004135132,-2.163520336,
0.87,0.874874018,0.880171928,,,,3.282952785,2.027318954,5.564508915,-0.8832851648000001,-1.374559045,-0.5680879354,,,,,,,
0.8999999999999999,0.924874018,,0.90352198,0.9110813609999999,,3.637090445,0.0568295382,3.550948858,,,,-2.671799898,-39.27180099,-34.06240082,-1.159850836,-3.724890232,-3.198724747,
0.9299999999999999,,0.9309778129999999,0.95352198,,,,,,-1.7372496130000001,-2.4771382809999998,-0.3399364948,-3.6111998560000003,-39.40599823,-33.45240021,,,,
0.96,0.974874018,0.9817829690000001,,0.961081361,,4.791028976000001,-2.131406784,2.073679924,-3.013614893,-3.323314428,-0.4489727318,,,,-1.4066782,-4.453898907,-3.2032611369999997,
0.99,,,1.00352198,1.011081361,,,,,,,,-4.782400131,-38.97900009,-33.1595993,-0.07483673096,-6.402964592000001,-3.948719025,
1.02,1.024874018,1.0325889590000001,,,,7.161418915,-4.087240219,1.5951154230000002,-4.610217093999999,-4.862955093,0.5086830258,,,,,,,
1.05,1.074874018,,1.05352198,1.0610813609999998,,10.46261692,-0.8288139701,6.143871307,,,,-6.624599934,-37.47840118,-33.1473999,2.534436226,-2.671606302,0.6444554329,
1.08,,1.083395678,1.10352198,,,,,,-4.705356598,-4.147194862,0.8614473343000001,-9.064599991,-34.85540009,-33.00099945,,,,
1.1099999999999999,1.1248740179999999,1.134201563,,1.1110813609999999,,12.62692547,1.4694921969999999,7.946564198,-3.000787258,-2.838607311,0.8099834919,,,,4.195700645,1.5384922030000001,5.505934237999999,
1.14,,,1.15352198,1.161081361,,,,,,,,-12.09019947,-31.13439941,-32.41539764,2.992499352,3.765809059,5.098472595,
1.17,1.174874018,1.185006719,,,,13.87926865,1.495813251,7.211668491,-1.787339091,-2.435447931,2.672609568,,,,,,,
1.2,1.224874018,,1.20352198,1.211081361,,15.12892056,-0.7953144312,6.38076067,,,,-15.95759964,-26.22999954,-31.45159912,5.7405653,2.7346272469999997,6.167003632,
1.23,,1.235812761,1.25352198,,,,,,-0.5544965863,-1.004691005,2.00678587,-20.48379898,-20.32519913,-30.13399887,,,,
1.26,1.274874018,1.28661948,,1.261081361,,14.31954765,-1.180858016,0.1776670814,-0.6424586177,0.08414421231000001,1.516733766,,,,5.433205605,2.354269981,1.2394151690000001,
