"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.703521561E0,-1.698239899E1,4.554259872E1,-1.406659985E1
4.753521353E0,-1.584779930E1,4.456660080E1,-1.618939972E1
4.803521353E0,-1.463999939E1,4.278540039E1,-1.932480049E1
4.853521353E0,-1.299300003E1,4.012580109E1,-2.358259964E1
4.903521353E0,-1.074819946E1,3.812500000E1,-2.952400017E1
4.953521353E0,-8.112999916E0,3.535559845E1,-3.450159836E1
5.003521353E0,-5.392399788E0,3.317179871E1,-3.857640076E1
5.053521353E0,-2.452199936E0,3.126859856E1,-4.129700089E1
5.103521353E0,4.147999883E-1,2.982899857E1,-4.259019852E1
5.153521353E0,2.500999928E0,2.885299873E1,-4.345639801E1
5.203521353E0,3.977200031E0,2.881639862E1,-4.348080063E1
5.253521353E0,4.209000111E0,3.007299995E1,-4.233399963E1
5.303521353E0,3.428200006E0,3.220800018E1,-4.049179840E1
5.353521353E0,1.842199922E0,3.440399933E1,-3.786880112E1
5.403521040E0,-2.683999836E-1,3.629499817E1,-3.508720016E1
5.453521040E0,-2.830399990E0,3.875939941E1,-3.195179939E1
5.503521040E0,-5.477799892E0,4.121159744E1,-2.788920021E1
5.553521040E0,-7.722599983E0,4.367599869E1,-2.332639885E1
5.603521040E0,-9.698999405E0,4.584759903E1,-1.887339973E1
5.653521040E0,-1.111419964E1,4.738479996E1,-1.517679977E1
5.703521040E0,-1.230980015E1,4.823880005E1,-1.317599964E1
5.753521040E0,-1.299300003E1,4.801919937E1,-1.339559937E1
5.803521040E0,-1.274899960E1,4.715299988E1,-1.505480003E1
5.853521040E0,-1.171199989E1,4.555479813E1,-1.801939964E1
5.903521040E0,-1.060179996E1,4.324900055E1,-2.210639954E1
5.953521040E0,-9.247599602E0,3.973539734E1,-2.657159996E1
6.003521040E0,-7.063799858E0,3.680739975E1,-3.158580017E1
6.053521040E0,-4.648200035E0,3.451379776E1,-3.592900085E1
6.103521040E0,-2.513200045E0,3.267160034E1,-3.883259964E1
6.153521040E0,2.439999878E-1,3.125639915E1,-4.063819885E1
6.203521040E0,2.781599998E0,2.995100021E1,-4.183379745E1
6.253521040E0,4.794600010E0,2.935319901E1,-4.206559753E1
6.303521040E0,6.051199913E0,2.981679916E1,-4.144339752E1
6.353521040E0,6.160999775E0,3.135400009E1,-3.991839981E1
6.403521040E0,5.575399876E0,3.312300110E1,-3.808839798E1
6.453521040E0,4.587199688E0,3.529459763E1,-3.644139862E1
6.503521040E0,3.171999931E0,3.680739975E1,-3.455039978E1
6.553521040E0,1.183400035E0,3.868619919E1,-3.201279831E1
6.603521040E0,-1.085799932E0,4.108959961E1,-2.857239914E1
6.653521040E0,-3.403800011E0,4.351739883E1,-2.470499992E1
6.703521040E0,-5.148399830E0,4.554259872E1,-2.114259911E1
6.753521040E0,-6.453799725E0,4.681139755E1,-1.849519920E1
6.803521040E0,-7.466399670E0,4.740919876E1,-1.758020020E1
6.853521040E0,-7.844599724E0,4.715299988E1,-1.809259987E1
6.903521144E0,-7.149199963E0,4.649419785E1,-1.939799881E1
6.953521144E0,-6.148799896E0,4.506679916E1,-2.182579994E1
7.003521144E0,-4.953199863E0,4.313919830E1,-2.514419937E1
7.053521144E0,-3.574599981E0,4.099200058E1,-2.908479881E1
7.103521144E0,-1.866599917E0,3.916199875E1,-3.290340042E1
7.153521144E0,-9.759999812E-2,3.775899887E1,-3.556299973E1
7.203521144E0,1.463999987E0,3.667319870E1,-3.710020065E1
7.253521144E0,2.976799965E0,3.581919861E1,-3.808839798E1
7.303521144E0,4.416399956E0,3.552639771E1,-3.878379822E1
7.353521144E0,4.465199947E0,3.531900024E1,-3.896680069E1
7.403521144E0,3.928400040E0,3.558739853E1,-3.874720001E1
7.453521144E0,2.854799986E0,3.624620056E1,-3.814939880E1
7.503521144E0,1.110199928E0,3.700259781E1,-3.739299774E1
7.553521144E0,-3.416000009E-1,3.792979813E1,-3.617300034E1
7.603521144E0,-2.525399923E0,3.880820084E1,-3.490419769E1
7.653521144E0,-4.806799889E0,4.011359787E1,-3.303759766E1
7.703521144E0,-6.600199699E0,4.199239731E1,-3.042679977E1
7.753521144E0,-8.100799561E0,4.370039749E1,-2.786479950E1
7.803521144E0,-9.101200104E0,4.515219879E1,-2.555900002E1
7.853521144E0,-9.698999405E0,4.579879761E1,-2.453419876E1
7.903521144E0,-1.002839947E1,4.555479813E1,-2.485140038E1
7.953521144E0,-1.002839947E1,4.456660080E1,-2.588839912E1
8.003521144E0,-1.005280018E1,4.300500107E1,-2.792580032E1
8.053521144E0,-1.024800014E1,4.090660095E1,-3.051219940E1
8.103521144E0,-1.039439964E1,3.832019806E1,-3.376959991E1
8.153521144E0,-1.010159969E1,3.579479980E1,-3.718560028E1
8.203521144E0,-9.259799957E0,3.365979767E1,-4.015019989E1
8.253521144E0,-7.759199619E0,3.246419907E1,-4.173619843E1
8.303521144E0,-5.465600014E0,3.206159973E1,-4.211439896E1
8.353521144E0,-1.732399940E0,3.256179810E1,-4.172399902E1
8.403521144E0,7.929999828E-1,3.268379974E1,-4.163859940E1
8.453521144E0,2.879199982E0,3.328160095E1,-4.117499924E1
8.503521144E0,4.538399696E0,3.467239761E1,-3.994279861E1
8.553521144E0,5.526599884E0,3.649020004E1,-3.807619858E1
8.603521144E0,5.795000076E0,3.840559769E1,-3.562400055E1
8.653521144E0,4.855599880E0,4.019899750E1,-3.290340042E1
8.703521144E0,2.903599977E0,4.184600067E1,-3.008519936E1
8.753521404E0,7.319999933E-1,4.398099899E1,-2.663259888E1
8.803521404E0,-1.390799999E0,4.623799896E1,-2.236260033E1
8.853521404E0,-2.988999844E0,4.839739990E1,-1.765340042E1
8.903521404E0,-4.306600094E0,5.000779724E1,-1.366399956E1
8.953521404E0,-5.368000031E0,5.115459824E1,-1.123619938E1
9.003521404E0,-6.087800026E0,5.131319809E1,-1.085799980E1
9.053521404E0,-6.014599800E0,5.053239822E1,-1.250500011E1
9.103521039E0,-5.075200081E0,4.899519730E1,-1.545739937E1
9.153521039E0,-3.781999826E0,4.690900040E1,-1.944680023E1
9.203521039E0,-1.805599928E0,4.378580093E1,-2.446100044E1
9.253521039E0,9.027999640E-1,4.043079758E1,-2.991440010E1
9.303521039E0,3.769799948E0,3.761259842E1,-3.461140060E1
9.353521039E0,6.710000038E0,3.517259979E1,-3.795420074E1
9.403521039E0,9.662400246E0,3.287899780E1,-4.032099915E1
9.453521560E0,1.226099968E1,3.119540024E1,-4.149219894E1
9.503521560E0,1.394460011E1,3.028039932E1,-4.198019791E1
9.553521560E0,1.485960007E1,3.079279900E1,-4.128479767E1
9.603521560E0,1.460339928E1,3.247639847E1,-3.966220093E1
9.653521560E0,1.320039940E1,3.509939957E1,-3.701480103E1
9.703521560E0,1.078479958E1,3.749060059E1,-3.414780045E1
9.753521560E0,7.795799732E0,3.961339951E1,-3.080500031E1
9.803521560E0,4.733600140E0,4.232180023E1,-2.708399963E1
9.853521560E0,1.976400018E0,4.515219879E1,-2.271640015E1
9.903521560E0,-4.757999778E-1,4.781179810E1,-1.804380035E1
9.953521560E0,-2.366800070E0,5.042259979E1,-1.427400017E1
1.000352156E1,-3.891799927E0,5.161819839E1,-1.213899994E1
1.005352156E1,-5.062999725E0,5.154499817E1,-1.240740013E1
1.010352156E1,-5.111799717E0,5.052019882E1,-1.440819931E1
1.015352156E1,-4.221199989E0,4.845840073E1,-1.773880005E1
1.020352156E1,-2.830399990E0,4.575000000E1,-2.210639954E1
1.025352156E1,-8.905999660E-1,4.245599747E1,-2.721819878E1
1.030352156E1,1.683599949E0,3.935720062E1,-3.220800018E1
1.035352156E1,4.294399738E0,3.717340088E1,-3.694160080E1
1.040352156E1,7.014999866E0,3.481879807E1,-3.990620041E1
1.045352156E1,9.869799614E0,3.287899780E1,-4.166299820E1
1.050352156E1,1.195599937E1,3.167119980E1,-4.257799911E1
1.055352156E1,1.327359962E1,3.150039864E1,-4.212659836E1
1.060352156E1,1.350539970E1,3.259840012E1,-4.097979736E1
1.065352156E1,1.273680019E1,3.489199829E1,-3.860079956E1
1.070352156E1,1.084579945E1,3.742959976E1,-3.584359741E1
1.075352156E1,8.796199799E0,3.944260025E1,-3.290340042E1
1.080352156E1,6.026799679E0,4.185820007E1,-2.969479942E1
1.085352156E1,3.245199919E0,4.451779938E1,-2.579080009E1
1.090352156E1,9.882000089E-1,4.711639786E1,-2.113039970E1
1.095352156E1,-6.832000017E-1,4.965399933E1,-1.715320015E1
1.100352156E1,-2.134999990E0,5.117900085E1,-1.399339962E1
1.105352156E1,-3.269599915E0,5.158160019E1,-1.332240009E1
1.110352156E1,-3.818599939E0,5.104479980E1,-1.439599991E1
1.115352156E1,-3.171999931E0,4.962960052E1,-1.689699936E1
1.120352156E1,-2.098399878E0,4.748239899E1,-2.037400055E1
1.125352156E1,-3.294000030E-1,4.448119736E1,-2.497340012E1
1.130352156E1,2.037400007E0,4.122380066E1,-3.001199913E1
1.135352156E1,4.513999939E0,3.850320053E1,-3.428199768E1
1.140352156E1,7.088200092E0,3.612419891E1,-3.780780029E1
1.145352156E1,9.845399857E0,3.397700119E1,-3.988179779E1
1.150352156E1,1.239519978E1,3.234220123E1,-4.112619781E1
1.155352156E1,1.426179981E1,3.265940094E1,-4.172399902E1
1.160352156E1,1.494499969E1,3.313520050E1,-4.106520081E1
1.165352156E1,1.448139954E1,3.494079971E1,-3.910099792E1
1.170352156E1,1.304179955E1,3.744179916E1,-3.646579742E1
1.175352156E1,1.060179996E1,3.958900070E1,-3.319619751E1
1.180352156E1,7.844599724E0,4.182159805E1,-3.012179947E1
1.185352156E1,4.867799759E0,4.439579773E1,-2.641300011E1
1.190352156E1,2.244799852E0,4.707979965E1,-2.198439980E1
1.195352156E1,4.391999841E-1,4.933679962E1,-1.738500023E1
1.200352156E1,-1.293200016E0,5.105699921E1,-1.394460011E1
1.205352156E1,-2.647399902E0,5.186219788E1,-1.255379963E1
1.210352156E1,-3.635599852E0,5.160599899E1,-1.323699951E1
1.215352156E1,-3.330600023E0,5.034939957E1,-1.529879951E1
1.220352156E1,-2.464400053E0,4.843399811E1,-1.854399872E1
1.225352156E1,-8.661999702E-1,4.562799835E1,-2.299699974E1
1.230352156E1,1.220000029E0,4.249259949E1,-2.801119995E1
1.235352156E1,3.586799860E0,3.957679749E1,-3.280579758E1
1.240352156E1,6.002399921E0,3.739299774E1,-3.649020004E1
1.245352156E1,8.539999962E0,3.539220047E1,-3.896680069E1
1.250352156E1,1.124839973E1,3.363539886E1,-4.040639877E1
1.255352156E1,1.322480011E1,3.223239899E1,-4.128479767E1
1.260352156E1,1.450579929E1,3.218359756E1,-4.116279984E1
1.265352156E1,1.443260002E1,3.363539886E1,-3.983300018E1
1.270352156E1,1.355420017E1,3.578260040E1,-3.769799805E1
1.275352156E1,1.190719986E1,3.805179977E1,-3.466019821E1
1.280352156E1,9.418399811E0,4.006480026E1,-3.197620010E1
1.285352156E1,6.587999821E0,4.234619904E1,-2.871879959E1
1.290352156E1,3.769799948E0,4.500579834E1,-2.487579918E1
1.295352156E1,1.281000018E0,4.822660065E1,-2.080099869E1
1.300352156E1,-8.051999807E-1,5.044699860E1,-1.650659943E1
1.305352156E1,-2.317999840E0,5.187439728E1,-1.328579998E1
1.310352156E1,-3.696599960E0,5.255759811E1,-1.209019947E1
1.315352156E1,-4.355400085E0,5.213059998E1,-1.294419956E1
1.320352156E1,-3.940599918E0,5.098379898E1,-1.521339989E1
1.325352156E1,-2.927999973E0,4.905619812E1,-1.871479988E1
1.330352156E1,-1.695799947E0,4.640879822E1,-2.320439911E1
1.335352156E1,5.245999694E-1,4.323679733E1,-2.834059906E1
1.340352156E1,2.915799856E0,4.033319855E1,-3.325719833E1
1.345352156E1,5.270400047E0,3.810059738E1,-3.712459946E1
1.350352156E1,7.807999611E0,3.606319809E1,-3.977199936E1
1.355352156E1,1.012599945E1,3.417219925E1,-4.119939804E1
1.360352156E1,1.226099968E1,3.302539825E1,-4.205339813E1
1.365352156E1,1.344439983E1,3.293999863E1,-4.194359970E1
1.370352156E1,1.371280003E1,3.401359940E1,-4.080899811E1
1.375352156E1,1.300519943E1,3.601440048E1,-3.888140106E1
1.380352156E1,1.146799946E1,3.823479843E1,-3.646579742E1
1.385352156E1,9.308599472E0,4.016239929E1,-3.395259857E1
1.390352156E1,6.710000038E0,4.229739761E1,-3.100020027E1
