Time window,Time (s)_acc,Time (s)_gyro,Time (s)_mag,Time (s)_lin_acc,Time (s)_prox,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Distance (cm)
1.26,1.271832139,1.273433853,1.272978385,1.263742139,,6.52193737,-3.536591768,3.634697676,-1.251931429,1.585148692,-0.49035763740000005,-22.86279869,4.026000023,-39.73539734,-2.4319972990000003,-0.7355575562000001,-1.8688845630000002,
1.29,,,,1.3137421390000001,,,,,,,,,,,-0.07898664474,1.402894974,2.389367104,
1.3199999999999998,1.321832139,1.324234947,1.322978385,,,7.941778182999999,-2.988336325,5.6937212939999995,-0.32252734899999996,0.7704311012999999,-0.27976804969999997,-23.25319862,3.379400015,-39.46699905,,,,
1.3499999999999999,1.3718321390000001,1.375035155,1.372978385,1.363742139,,7.965706347999999,-2.526521683,5.691328526,0.32252734899999996,0.2267770469,0.055281676349999996,-23.05799866,2.793799877,-39.51580048,-0.5201420784,1.694547534,1.7749643330000002,
1.41,1.4218321390000002,1.425836249,1.422978385,1.413742139,,9.66550827,-3.9340994360000003,7.1156563760000004,0.1270562261,-0.8243383765000001,0.1432436854,-22.5821991,2.281399965,-39.86959839,2.1835737230000003,-0.690237999,2.065148354,
1.44,,,,1.463742139,1.460835885,,,,,,,,,,2.6331491469999997,-1.5324685569999998,0.4177384377,5.0
1.47,1.471832139,1.4766383840000001,1.472978645,,,10.28315544,-5.353940487,3.812065601,-0.353527844,-0.387124449,-0.33688226340000005,-22.15519905,1.988600016,-40.21120071,,,,
1.5,1.521832139,1.527439478,1.522978645,1.513742139,,8.391927719,-6.560521603,3.6490545269999997,-0.7333221436,0.3555130959,0.2716743052,-21.59399986,2.000799894,-40.79679871,-0.02051353455,-2.6340806480000003,-0.8880317211,
1.56,1.571832139,1.5782396859999999,1.572978645,1.5637421390000001,,7.561020374,-5.34676218,0.4100699723,-1.811620235,0.8912261723999999,-0.055892523379999996,-20.77659988,2.391200066,-41.62639999,0.1438388824,-1.1085984709999999,-3.907846451,
1.5899999999999999,,,,1.613742139,1.6105700509999998,,,,,,,,,,-1.105845451,-1.026756763,-3.264565945,0.0
1.6199999999999999,1.6218321390000001,1.629040728,1.622978541,,,7.647161961,-1.6214364769999998,-0.5620142221,-2.2689921859999997,0.1827960461,-0.20234315100000003,-19.86159897,3.367199898,-42.39500046,,,,
1.65,1.6718321390000002,1.6798426030000002,1.672978541,1.663742139,,7.99202776,-4.688137531000001,3.737588882,-1.9486027959999999,-1.8940846919999998,0.1844758689,-19.37360001,4.79460001,-42.66339874,-0.30119705199999997,1.270542622,-2.771911621,
1.71,1.721832139,1.7306436969999999,1.722978541,1.713742139,,7.558627605,-3.603590965,2.325225353,-1.7635160680000002,-1.5229948759999998,1.010799527,-19.61759949,6.587999821,-42.15100098,1.190304756,1.1469702720000001,0.88565135,
1.74,,,,1.763742139,,,,,,,,,,,-0.7832403183,0.5103998184,0.7260034084,
1.77,1.771832139,1.781443905,1.7729785409999999,,,7.479664326,-4.752744198,1.257428288,-0.7562289238,-0.8032641411,2.4997396469999997,-20.2276001,9.052399635,-41.01639938,,,,
1.7999999999999998,1.821832139,,1.822978541,1.8137421390000001,,8.396714211,-2.538485765,4.403391838,,,,-20.55699921,12.21220016,-39.64999771,-1.5653438569999998,4.263103962,2.318842649,
1.8299999999999998,,1.8322451030000002,,,,,,,-0.3564293683,1.94524312,3.5997228619999997,,,,,,,
1.8599999999999999,1.8718321390000001,1.883046978,1.872978541,1.863742139,,6.50758028,-5.190929413,-2.108675003,-1.2435323,1.25498569,0.6459710002,-19.77619934,15.90880013,-38.67399979,1.157621861,3.3893165589999996,-1.272171617,
1.89,,,,1.913742139,,,,,,,,,,,-0.2899942398,-1.037050247,-3.38371253,
1.92,1.9218321390000002,1.933848072,1.922978541,,,5.116752148,-8.806185722,-1.1126625540000001,-1.6140111680000002,-0.5570927261999999,0.3312319219,-18.59280014,19.87380028,-37.52719879,,,,
1.95,1.971832139,,1.972978541,1.963742139,,6.014658927999999,-5.47597456,0.3882354796,,,,-17.64119911,23.92420006,-35.85580063,0.2862148285,1.236800671,0.7330673933,
1.98,,1.984648332,,,,,,,-0.5401417017,-1.936080337,1.370588541,,,,,,,
2.01,2.0218321390000003,2.0354494780000003,2.022978541,2.013742139,,1.961217284,-6.460022926000001,-2.441576481,-2.0852799419999997,-4.133756161,3.834288359,-16.82379913,27.82819939,-33.70859909,-1.861119032,2.778984547,-1.713360906,
2.04,,,,2.063742139,,,,,,,,,,,5.219632149,-1.879635811,6.001085757999999,
2.07,2.071832139,2.086251405,2.072978541,,,10.54666519,-13.23051453,7.340880871,0.03955236077,-1.603474021,1.597518325,-15.55499935,31.6833992,-31.06119919,,,,
2.1,2.121832139,,2.1229785409999997,2.113742139,,5.308177948,-18.36820412,2.279761791,,,,-13.6395998,35.14820099,-28.91399956,4.736375809,-10.33453083,8.992546082,
2.13,,2.137052499,,,,,,,2.711703777,1.155570269,-0.004581354558,,,,,,,
2.16,2.171832139,2.187852811,2.172978541,2.163742139,,4.755136966999999,-11.26002502,2.796910524,2.9685649869999997,2.728043795,-0.1430909634,-11.15079975,37.51499939,-28.13319969,1.1186199190000001,-2.114940643,3.131069422,
2.19,,,,2.2137421390000003,,,,,,,,,,,6.44555378,-5.636279106,-7.646130562000001,
2.2199999999999998,2.221832139,2.238653957,2.222978541,,,9.605687141,-15.23420429,-7.454838753,2.534099817,1.2154333590000002,-0.7243121266,-8.344799995,38.69839859,-28.30399895,,,,
2.25,2.2718321390000003,,2.272978541,2.263742139,,8.08295536,-15.34906006,-3.492324591,,,,-6.136600017999999,38.72279739,-28.80419922,5.577103615,-7.283585548,-7.461847305,
2.28,,2.289455884,,,,,,,0.2348707765,1.429382563,-0.6997255087,,,,,,,
2.31,2.321832139,,2.322978541,2.313742139,,2.643769979,-12.30389404,3.684946775,,,,-4.001599789,38.30799866,-29.36540031,0.4633362293,-3.786253929,3.787267685,
2.34,,2.34025703,,2.363742139,,,,,1.5179554219999998,4.023039818,-0.1774511337,,,,-2.168889046,2.226629734,-8.266857147,
2.37,2.371832139,2.391057291,2.3729785409999997,,,0.05324030295,-6.067300797000001,-5.108377457,1.56651783,0.6059604882999999,-0.06597150117,-1.073599935,37.27099991,-30.41459846,,,,
2.4,2.421832139,,2.422978541,2.413742139,,1.896611094,-2.42572403,-2.201995134,,,,2.086199999,35.58739853,-32.15919876,-0.7206830978000001,5.452564716,-6.826393127,
2.4299999999999997,,2.441858489,,,,,,,-0.41232189539999997,1.786728263,-1.194817185,,,,,,,
2.46,2.471832139,,2.472978541,2.4637421390000003,,3.088835001,-4.420141697,-1.6680965419999998,,,,5.111799717,33.50119781,-34.44059753,2.62458539,4.642229557,-5.9009385110000006,
2.4899999999999998,,2.492660416,,2.513742139,,,,,-0.8205205798,1.5784293409999999,-0.6346703172,,,,0.2879319191,4.190624237,-3.627617598,
2.52,2.5218321390000003,2.543461561,2.522978541,,,0.3499503136,-4.992325306000001,1.6286149019999998,-0.7223268747,2.288539171,-0.9217684865000001,8.03979969,31.65899849,-36.35599899,,,,
2.55,2.571832139,,2.572978541,2.563742139,,-0.3490529954,-5.36111927,4.893920422,,,,10.67500019,30.53660011,-37.18560028,-3.260200024,3.034341812,-1.5933876040000001,
2.58,,2.594261874,,,,,,,-0.4234698713,1.748092175,-0.7434011102,,,,,,,
2.61,2.621832139,,2.6229795830000002,2.613742139,2.635850572,6.210870266000001,-14.5758791,11.06830025,,,,12.90759945,30.2071991,-36.81959915,2.9436166289999997,-4.337855339,6.551782131,5.0
2.6399999999999997,,2.645064114,,2.663742139,,,,,0.3817795515,0.0531437099,-1.6057647469999998,,,,2.452190399,-1.0728693009999999,4.310630322,
2.67,2.671832139,2.6958660930000002,2.672979583,,,5.145465851,-8.181359291,11.95663548,0.5496098399,1.364938259,-1.4057122469999999,14.60339928,30.68299866,-35.80699921,,,,
2.6999999999999997,2.7218321389999995,,2.7229795830000003,2.713742139,,3.1247272489999998,-15.52642822,-17.19392586,,,,15.81120014,31.36619949,-34.89199829,2.047784567,-5.916737556,-19.5961647,
2.73,,2.7466672389999998,,,,,,,-1.239409089,0.6015318632,-0.3657447994,,,,,,,
2.76,2.771832139,,2.772979583,2.7637421389999997,,-2.484647274,-8.059026718,-0.7465606928,,,,16.11619949,32.54959869,-33.65979767,-7.044195175,-1.2294731140000001,1.4100027080000002,
2.79,,2.7974675510000004,,2.813742139,,,,,-1.3934953209999998,1.031568289,0.271368891,,,,-3.321075439,-6.388332367,-4.680779457,
2.82,2.8218321389999996,2.848268801,2.822979583,,,-0.3873381615,-18.85663795,-1.51256299,-1.1395355459999998,0.4004103839,1.089598775,16.32359886,34.3429985,-31.64679909,,,,
2.85,2.871832139,,2.8729795830000002,2.8637421389999997,,10.18505001,-10.23529911,-0.08315058798,,,,16.61639977,36.06319809,-29.52400017,9.825425147999999,-2.2786502840000002,0.8034985065000001,
2.88,,2.8990707280000003,,,,,,,-3.097148418,0.028098974380000002,-0.5430431962,,,,,,,
2.9099999999999997,2.9218321389999997,,2.922979583,2.9137421389999996,,1.4488540890000001,-8.351249695,3.780958891,,,,16.50659943,37.80780029,-26.86439896,0.7644600868000001,1.004037857,-1.151786089,
2.94,,2.949871926,,2.963742139,,,,,-2.511498451,0.1319430023,-0.06963659078,,,,-3.792199135,4.655281544,5.88164854,
2.9699999999999998,2.9718321389999995,,2.9729795830000003,,,-1.1820544,-5.023432255,4.934897423,,,,16.1406002,39.51580048,-23.74119949,,,,
3.0,3.021832139,3.0006722389999996,3.022979583,3.0137421389999997,,2.499901533,-6.869195461,3.869493246,-0.7986828089,-2.942756653,0.7443174123999999,15.57940006,40.96759796,-20.86199951,-0.345906496,2.698194027,1.7087472680000002,
3.03,,3.0514734889999997,,,,,,,-0.5925218463,-2.391314268,0.5812211633,,,,,,,
3.06,3.0718321389999996,,3.072979583,3.063742139,,3.9987056260000005,-7.989634991,-0.7322037220000001,,,,15.31099987,42.21199799,-18.1901989,1.903835535,1.655948639,2.040577173,
3.09,,3.102275468,,3.1137421389999997,,,,,-0.7192726731,-2.3968119619999997,0.07956285775000001,,,,3.76440239,3.2712183,-2.0973131659999997,
3.12,3.121832139,,3.1229795830000002,,,5.073681355,-6.838088989,-2.7670001980000003,,,,11.08979988,42.73659897,-15.48180008,,,,
3.15,3.1718321389999997,3.153076666,3.172979583,3.1637421389999996,,1.87268281,-11.67188931,1.417747378,-1.141062737,-1.898818731,0.2707580328,11.16300011,43.77359772,-12.80999947,-1.005192876,-1.7103405,2.392175913,
3.1799999999999997,,3.203877031,,,,,,,-2.292051554,4.158801079,0.649941504,,,,,,,
3.21,3.2218321389999995,,3.2229795830000003,3.213742139,,7.587341309,-13.12493134,13.81675625,,,,11.08979988,44.60319901,-9.881999968999999,4.824501991,-2.4987716669999998,10.58797932,
3.2399999999999998,,3.2546782810000003,,3.2637421389999997,,,,,2.574263096,2.146517277,1.08517015,,,,-1.132777214,-6.091249466,13.98515511,
3.27,3.271832139,,3.272979583,,,3.294916868,-13.02443314,6.55782938,,,,10.83360004,45.32299805,-6.892999649,,,,
3.3,3.3218321389999996,3.30548026,3.322979583,3.313742139,,5.188536644,-11.31505966,-5.685346602999999,4.79224968,-1.165954709,-0.05772506446,10.95559978,45.33519745,-5.843800067999999,3.631492376,-1.751038551,-3.158942938,
3.33,,3.35628151,,,,,,,2.173699856,1.995179892,-0.38300123810000003,,,,,,,
3.36,3.371832139,,3.3729795830000002,3.3637421389999997,,4.2690944669999995,-13.30708504,0.022133609280000004,,,,11.3093996,45.24979782,-6.966199875,2.3241028790000002,-3.423033714,-4.162801743,
3.3899999999999997,,3.4070818739999997,,3.4137421389999996,,,,,1.9275285009999998,2.5414299959999997,-0.48898324369999996,,,,6.8885750770000005,-6.838456154,-0.5612561703,
3.42,3.4218321389999997,,3.422979583,,,5.846862316,-20.20439529,6.8500528339999995,,,,11.82180023,45.10339737,-8.466799736,,,,
3.4499999999999997,3.4718321389999995,3.457883124,3.4729795830000003,3.463742139,,5.435296535,-14.51127338,-0.2365903407,2.959096909,-2.467211962,-1.561783671,11.85839939,44.77399826,-10.76039982,0.3473129272,-8.415153502999999,0.019662380219999998,
3.48,,3.5086851560000003,,,,,,,0.31336465480000003,-1.24979353,-1.976854444,,,,,,,
3.51,3.521832139,,3.522979583,3.5137421389999997,,5.401497841,-9.227322577999999,-0.3346960545,,,,9.967399597,43.22459793,-12.59039974,3.212685347,-3.194063187,-5.909718513,
3.54,,3.559486353,,3.563742139,,,,,-0.885728538,-0.08750387281,-0.545486629,,,,-6.310801506000001,5.583220482000001,-5.439014912,
3.57,3.5718321389999996,,3.572979583,,,-3.2578279969999997,-1.47308147,-2.022533417,,,,9.198800087,42.80979919,-14.94499969,,,,
3.5999999999999996,3.621832139,3.61028677,3.6229795830000002,3.6137421389999997,,-1.158126116,1.936092615,-1.028913736,-1.0538642409999999,0.5549547076,1.1493091579999999,8.027600288,42.63899994,-18.20240021,-5.056373119,10.97103596,-5.497525215,
3.6599999999999997,3.6718321389999997,3.661088072,3.672979583,3.6637421389999996,,9.34457016,-0.02452643216,17.54926109,-0.224791795,0.5523586273,0.6342121959,7.161399841000001,42.61459732,-21.60619926,1.067216873,7.73455143,2.1959347719999998,
3.69,,3.711890051,,3.713742139,,,,,-0.03527642787,-0.1006370857,-1.313474298,,,,-5.069299698,1.916072845,0.3166236877,
3.7199999999999998,3.7218321389999995,,3.7229795830000003,,,1.0731809140000002,-4.503890514,2.89980197,,,,5.66079998,42.73659897,-23.70459938,,,,
3.75,3.771832139,3.7626913010000003,3.772979583,3.7637421389999997,,-0.5021936297,-10.63759232,-11.83340549,0.6235223413000001,2.5298240180000002,-1.447708011,4.196799755,43.1269989,-24.71719933,-3.32124114,0.5504808426,-14.54158211,
3.81,3.8218321389999996,3.8134917180000003,3.822979583,3.813742139,,5.454439162999999,-33.98017502,-2.640180588,-2.84028697,-1.165496588,1.3287454840000001,2.281399965,43.65159988,-25.54679871,-1.291769028,-33.24508667,-11.30028343,
3.84,,3.86429302,,3.8637421389999997,,,,,-8.484057426,1.754505992,1.420983434,,,,6.012924194,-12.07506561,-5.932814597999999,
3.8699999999999997,3.871832139,,3.8729795830000002,,,10.84337521,-21.61227417,-5.2163534160000005,,,,1.110199928,45.00579834,-23.22879982,,,,
3.9,3.9218321389999997,3.915095103,3.922979583,3.9137421389999996,,7.26431036,-18.24377632,8.875576973,-2.674594641,-0.3878880143,-0.47814068200000004,0.23179998989999998,45.53039932,-18.10479927,10.53752899,-9.084543228,25.44598389,
3.96,3.9718321389999995,3.965896353,3.9729795830000003,3.963742139,,-7.806583881,-9.371191025,6.299404621,-2.070619583,-0.9617789984,-0.1774511337,0.07320000231000001,46.60400009,-12.6147995,-7.956730843,-2.17818737,4.075666904,
3.9899999999999998,,4.01669677,,4.013742139,,,,,0.1714953631,-1.7615307569999998,0.9888089895000001,,,,-5.3288688660000005,10.61936665,16.21492958,
4.02,4.021832139,,4.022979583,,,-0.01615155302,1.35912323,11.79631615,,,,0.060999996960000004,47.33599854,-6.88079977,,,,
4.05,4.071832139,4.067498072,4.072979583,4.0637421389999995,,4.877470016,-4.348356723999999,-1.957927108,4.16658926,-2.83188796,0.1017060652,0.08540000021,50.77639771,-2.964599848,4.011696815,4.525968552,-0.19319605829999997,
4.109999999999999,4.1218321389999995,4.118300156,4.122979583,4.113742139,,3.2470602989999997,2.1110677719999997,-3.212364435,1.7803143259999998,-0.8128849864,-1.10548079,0.5978000164,51.76459885,0.2561999857,1.3907750840000002,10.2976656,-2.416401386,
4.14,,4.169101406,,4.163742139,,,,,2.881519318,2.70376277,-0.8616000414,,,,1.018585682,9.339689255,11.15487003,
4.17,4.171832139,,4.172979583,,,5.803791522999999,-2.655734062,7.510771275,,,,0.8051999806999999,52.76499939,2.781599998,,,,
4.2,4.221832139,4.219901874,4.222979583,4.213742139,,15.67478275,-25.73241425,2.4448664190000002,2.16041398,4.431696892,-3.1935095789999997,0.9515999556,53.69219971,4.294399738,10.81207657,-10.18334293,-2.534003735,
4.26,4.271832139,4.2707031760000005,4.272979583,4.263742139,,5.990730762,-55.28287888,8.631210327,4.357326031,1.231162667,-2.0102982519999997,0.14640000460000002,53.83860016,2.793799877,5.298977852,-45.01980591,8.153216362,
4.29,,,,4.3137421389999995,,,,,,,,,,,0.29644680019999997,-9.411618232999999,-5.441920757,
4.32,4.321832139,4.32150526,4.322979583,,,6.1845493320000005,-11.56899834,-1.275673628,2.37711215,-0.22647161780000002,-0.5500679612,-0.109799996,53.42379761,-2.281399965,,,,
4.35,4.3718321389999995,4.3723065619999995,4.372979583,4.363742139,,5.799005508,3.3248269560000003,-3.44446826,-0.7154548764,2.591672182,-0.5410579443,-0.9759999514,52.60639954,-8.515600204,1.762904644,8.826221466,-7.694615841,
4.41,4.421832139,4.423107031,4.422979583,4.413742139,,-2.175673962,-1.250249863,-6.00628376,-1.5564388040000001,1.0605835909999999,0.5453338622999999,-1.6957999469999998,52.14279938,-15.05480003,-4.717148781000001,6.293357372000001,-11.90856647,
4.4399999999999995,,,,4.463742139,,,,,,,,,,,-7.451034068999999,9.148071288999999,-10.27685738,
4.47,4.471832139,4.473908385,4.472979583,,,-2.855534792,2.738286495,-6.803392887,-1.880798697,-1.243685007,1.6703618759999999,-2.635200024,51.67919922,-20.11779976,,,,
4.5,4.521832139,4.524710468,4.522979583,4.513742139,,-0.674476862,2.357528448,-3.243471146,-1.350277901,-2.1733944419999998,0.46913069490000003,-3.062199831,50.84959793,-22.75300026,-3.4999847410000005,10.98845863,-8.113929749,
4.56,4.571832139,4.57551177,4.572979583,4.5637421389999995,,0.3547359705,-17.92762566,35.41886139,2.754462957,4.5860886569999995,-0.8098307252,-3.5745999810000004,50.33720016,-25.24180031,1.8358623980000002,-1.4171047209999998,49.47870255,
4.59,,,,4.613742139,,,,,,,,,,,-3.868108988,7.411156654,-17.69569206,
4.62,4.6218321389999995,4.626312239,4.622979583,,,-1.012163997,-1.228714466,-9.410672188,2.400629759,-5.559931755,-0.7229377031,-3.7087998389999997,49.39780045,-27.52319908,,,,
4.6499999999999995,4.671832139,4.6771135930000005,4.672979583,4.663742139,,-2.343171597,-27.12324333,-12.33858967,-0.12583453949999998,-4.306473255,1.3269129990000001,-4.184599876,48.28759766,-29.42639923,-7.79887867,-9.877270699,-17.3625164,
4.71,4.721832139,4.727915728,4.722979583,4.713742139,,17.5755806,-36.00061417,-0.6385845542,-7.362083912,0.6160394549,3.953708887,-5.8193998339999995,47.56779861,-27.98679924,9.702713013,-29.36638641,-5.482658386000001,
4.74,,,,4.763742139,,,,,,,,,,,23.81947708,-15.28597355,-5.811861037999999,
4.77,4.771832139,4.778717031,4.772979583,,,35.11945724,-18.26531219,47.38685989,-3.9752411839999997,-4.778505325,0.7973083854,-5.624199867000001,49.00740051,-24.6439991,,,,
