"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717842957770214E9,"2024-06-08 12:35:57.770 UTC+02:00"
"PAUSE",5.782136914999865E2,1.717843535976354E9,"2024-06-08 12:45:35.976 UTC+02:00"
