"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.517919895E0,2.889521122E-1,6.651592255E-1,1.153333664E0
4.567919895E0,1.563639641E0,-7.673921585E-1,7.624074221E-1
4.617919895E0,3.472558558E-1,6.678209305E-1,1.509820461E0
4.667919895E0,3.435763121E0,7.011890411E-1,1.864369631E0
4.717919895E0,-3.907764554E-1,-4.706363678E-1,1.614691019E-1
4.767919895E0,-3.414350748E-1,-1.762489319E0,4.333174229E-1
4.817919895E0,1.138358831E0,-2.973423004E-1,2.593301773E0
4.867919895E0,1.474550605E0,-1.106655121E0,2.561856270E0
4.917919895E0,3.575687885E0,3.072986603E-1,1.971894979E0
4.967919895E0,7.521891594E-2,-3.499271393E0,2.316356182E0
5.017919895E0,-2.587863684E0,-4.117726326E0,6.003475189E-2
5.067919895E0,-1.233576298E0,7.318649292E-1,-3.555755615E-1
5.117919895E0,-4.232144356E-1,1.926383972E0,-1.410344601E0
5.167919895E0,8.743524551E-1,3.150256634E0,-1.656199932E0
5.217919895E0,1.056501389E0,3.363892317E0,-1.201469421E0
5.267919895E0,-1.604045868E0,2.747617245E0,-1.354452133E0
5.317919895E0,9.764003754E-2,-4.465684891E-1,1.882210732E0
5.367919895E0,1.279309750E0,9.391069412E-2,1.064054489E0
5.417919895E0,5.161724091E-1,1.795225143E0,3.144736290E-1
5.467919895E0,-5.774724483E-1,1.969184875E0,-9.633016586E-2
5.517919895E0,1.150982618E0,1.445279598E0,7.123637199E-1
5.567919895E0,1.564450741E0,-3.963403702E-1,1.522344112E0
5.617919895E0,2.330899239E-1,4.597377777E-2,1.217948437E0
5.667919895E0,2.251722813E-1,-2.833428383E-1,6.847095490E-1
5.717919895E0,9.319388866E-1,3.014779091E-1,6.326308250E-1
5.767919895E0,7.180213928E-1,5.281190872E-1,4.502878189E-1
5.817919895E0,-1.214488745E-1,-1.468515873E0,2.892360687E-1
5.867919895E0,7.721066475E-2,-8.029451370E-1,-1.099238873E0
5.917919895E0,1.090382338E0,-2.245270014E0,1.388340950E0
5.967919895E0,6.551990509E-1,-4.356436729E-1,-6.522960663E-1
6.017919895E0,-1.429530621E0,1.463653803E0,-2.669196129E0
6.067919895E0,-1.218052268E0,4.009101391E-1,-3.482047081E0
6.117919895E0,-6.083030701E-1,2.773952484E-2,-2.234172821E-2
6.167919895E0,-7.719805241E-1,1.634789467E0,-1.761982918E0
6.217919895E0,-1.948081732E0,1.147051930E0,1.209202766E0
6.267919895E0,1.174369335E0,3.743984699E-1,2.336094856E0
6.317919895E0,1.715337515E0,-1.023089886E0,-4.107265472E-1
6.367919895E0,-7.333993912E-3,2.903591156E0,-1.012024879E0
6.417919895E0,-4.270027876E-1,-1.205062866E0,3.153428078E0
6.467919895E0,1.066364050E-1,-2.797059536E0,4.924883842E-1
6.517919895E0,7.581770420E-1,3.333898067E0,-2.061545849E0
6.567919895E0,6.497602463E-1,2.574275017E0,-9.434700012E-1
6.617919895E0,4.731785655E-1,-1.651968956E-1,1.146202087E0
6.667919895E0,9.141240120E-1,-4.186582565E-1,1.582298279E-1
6.717919895E0,-8.484474421E-1,-1.690043449E0,6.577162743E-1
6.767919895E0,9.549062252E-1,-3.195957184E0,1.026710033E0
6.817919895E0,1.454778671E0,-2.310981750E-1,2.340013981E0
6.867919895E0,6.203455925E-1,-5.539407730E-1,2.537798405E0
6.917919895E0,1.251754761E-1,-7.016420364E-1,-2.207333565E0
6.967919895E0,-2.898567677E0,6.678199768E-1,-2.442063570E0
7.017919895E0,-3.282163143E-1,9.315309525E-1,-1.323415756E0
7.067919895E0,1.063295603E0,-1.276020527E0,2.005748749E-1
7.117919895E0,-6.547689438E-1,-1.183847427E0,1.493595123E0
7.167919895E0,2.447982550E0,-1.444820881E0,1.461085320E0
7.217919895E0,-2.835440636E-1,-4.795169830E-1,2.597312927E-1
7.267919895E0,1.385824203E0,7.612175941E-1,-9.265089035E-1
7.317919895E0,2.101234913E0,1.103435993E0,-3.267340660E-1
7.367919895E0,1.363543987E0,5.178413391E-1,3.845338821E-1
7.417919895E0,3.235104084E-1,1.400437355E-1,-1.478613853E0
7.467919895E0,1.177158356E-1,2.389440536E-1,8.622608185E-1
7.517919895E0,3.902497292E-1,-1.900585651E0,-4.931163788E-2
7.567919895E0,-1.864147186E-2,-2.388836384E0,3.193778992E-1
7.617919895E0,-7.510869503E-1,-1.794789791E0,-1.255262375E0
7.667919895E0,-2.305291176E0,8.570030928E-1,-3.137098312E0
