Time window,Time (s)_acc,Time (s)_gyro,Time (s)_mag,Time (s)_lin_acc,Time (s)_prox,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Distance (cm)
0.0,0.012255208329999998,,,,0.02908824998,0.4457730103,7.270381165,7.724686432,,,,,,,,,,5.0
0.06,0.062118208329999994,0.06959620831,0.06959620831,0.06959620831,,-0.8027806090999999,6.017935637999999,7.0097731020000005,0.1047566533,-1.1416594979999999,0.4686915874,3.1317710880000003,-17.97991371,-53.38148499,-0.22600690829999998,-0.04748816192,0.1357472044,
0.09,0.1119802083,0.1194592083,0.1194592083,0.1194592083,,0.7800279236,6.5219375610000005,6.99600174,0.1320298016,-1.19793272,0.3924550414,-0.1232299805,-18.65448189,-53.17340088,0.3644562573,-0.6764222789,-0.6633110672,
0.15,0.1618432083,0.16932120829999997,0.16932120829999997,0.16932120829999997,,0.38425094600000004,6.649322662,6.380930786,-0.8423355222,-0.6563739777,0.2812314034,-3.6007881160000004,-17.99670982,-53.20532227,-0.3707661704,0.3808502054,-0.9270737028,
0.21,0.21170620829999998,0.2191842083,0.2191842083,0.2191842083,,0.6081852722,5.8204962160000004,7.238048401,-1.096703172,-1.042999029,0.2876209915,-5.729499817000001,-14.88190937,-54.21664429,-0.22357443,-1.363308735,-0.2780643404,
0.24,0.26156920829999997,0.2690472083,0.2690472083,0.2690472083,,2.565664673,6.727909241,7.854017487,-0.46801674369999996,-1.74622345,-0.3985473812,-10.22095108,-13.49973297,-53.70317078,1.142093656,1.876883134,1.5271260830000002,
0.3,0.3114312083,0.3189102083,0.3189102083,0.3189102083,,1.1276051329999999,4.474345551,9.593400421,-0.2740824223,0.34137541060000004,-0.3565799594,-11.76763153,-12.67320156,-53.76657104,-1.1090802770000001,-2.224730485,0.8554610986,
0.36,0.3612942083,0.36877220829999996,0.36877220829999996,0.36877220829999996,,1.719324646,4.690945129,4.205803986,-0.6083027124,-2.7053973669999998,0.1368315816,-13.9549675,-11.77836418,-53.55355835,-1.14657584,-0.6989925312999999,-3.356921005,
0.39,0.4111573333,0.41863533329999997,0.41863533329999997,0.41863533329999997,,3.792363739,4.878654785,7.993677063,-1.048325181,-1.695527196,0.37278860810000003,-21.02835083,-9.86190033,-50.88703918,0.02205335855,-0.6589607388000001,0.9795746826999999,
0.44999999999999996,0.4610203333,0.46849833329999996,0.46849833329999996,0.46849833329999996,,4.7542634580000005,4.717140656000001,9.742789764,-0.5475450158,-0.6531794071,-0.06772248447000001,-23.72254562,-7.12750864,-49.8368988,0.4611149347,0.2789294359,2.681120285,
0.51,0.5108823333,0.5183613333,0.5183613333,0.5183613333,,-0.43679168700000004,4.753365326,5.613626404,-0.6655578017,-1.7399346830000002,1.513260126,-26.60980034,-5.255583763,-49.80662537,-4.810857197,-1.274997945,-1.8522815590000001,
0.54,0.5607453333,0.5682233333,0.5682233333,0.5682233333,,7.540419617,4.895868988,6.440506897000001,-1.053385735,-2.594961643,0.6040686369,-31.44264603,-1.599031448,-46.03373718,2.368369092,1.397596223,-1.933601126,
0.6,0.6106083333,0.6180863333,0.6180863333,0.6180863333,,3.5091526789999996,0.5698649597,7.007976837,-1.372915745,-2.24020052,1.39954567,-36.86943054,1.7613010409999998,-41.43370056,-4.559057672,-3.754468227,0.9524424326,
0.6599999999999999,0.6604713333,0.6679493333,0.6679493333,0.6679493333,,4.302652588,0.9015751648,7.300468597,-1.680000186,-1.591536403,2.07942605,-40.11090088,7.909667969,-38.04267883,-2.5539790119999997,-1.8692400919999999,0.8085062027,
0.69,0.7103333333,0.7178123332999999,0.7178123332999999,0.7178123332999999,,6.67417099,-5.197791138,2.9282107539999997,-3.508289576,-2.044621706,1.911965489,-41.83578491,15.29117012,-32.91629028,-2.316631758,-7.668295884,-2.5670200569999997,
0.75,0.7601963333,0.7676743333,0.7676743333,0.7676743333,,6.572981415,-5.660329285,6.370302887,-3.837988853,-1.109882474,3.5858607289999997,-41.38153839,26.52643585,-24.03305054,-1.065389589,-3.0372294589999997,0.8389757511,
0.8099999999999999,0.8100593333,0.8175373333,0.8175373333,0.8175373333,,11.07980942,-8.394094391,1.85344574,-4.226438522,-0.7210850716,2.605686188,-37.49706268,37.75750732,-16.15777588,3.93113103,-5.115096306,-2.840406041,
0.84,0.8599223333,0.8674003333,0.8674003333,0.8674003333,,14.99042725,-8.264913025,4.254752197,-4.278405666,-0.9115841984999999,3.0479121210000004,-31.59759903,44.89926147,-4.291725158999999,7.666000852000001,-1.907621947,2.703040034,
0.8999999999999999,0.9097843333,0.9172633333,0.9172633333,0.9172633333,,16.4588736,-4.651277618,5.574407959,-2.686381817,-0.35515779259999997,0.6963498592,-26.91793823,47.87996292,6.57975769,8.81184579,1.35863564,3.263316438,
0.9299999999999999,0.9596473333,,,,,13.99918854,-5.577551422000001,2.470762024,,,,,,,,,,
0.96,,0.9671263333,0.9671263333,0.9671263333,,,,,-2.635277271,-0.6862178445,0.5543318987,-24.94104767,47.85784531,14.95635223,6.750732093,2.336401194,2.620224457,
0.99,1.009510333,1.016988333,1.016988333,1.016988333,,6.065087585,-0.1363664246,8.304580536,0.2777221501,-1.291871905,0.5594558716,-23.03643036,46.88163757,19.3085556,-1.5270717040000001,6.966131823,6.414705473,
1.05,1.059373333,1.066851333,1.066851333,1.066851333,,4.682562561,-6.4520329279999995,1.55152359,-0.22970579559999998,-0.0639501363,0.6440876722,-20.28242111,47.42311096,19.94270325,-1.443989201,1.0035535290000002,0.7622558962999999,
